( 2023/02/10 13:30:53.246) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 13:31:23.695) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:23.756) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:23.815) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:23.878) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:23.952) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.89
( 2023/02/10 13:31:24.023) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:24.093) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:24.159) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.89
( 2023/02/10 13:31:24.223) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.89
( 2023/02/10 13:31:24.295) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:24.374) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:24.442) #left_data: ,0.03,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:24.505) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:24.568) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.18,0.9
( 2023/02/10 13:31:24.639) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.2,0.93
( 2023/02/10 13:31:24.715) #left_data: ,0.05,0.0,0.04,0.0,0.0,0.0,1.22,0.94
( 2023/02/10 13:31:24.782) #left_data: ,0.08,0.0,0.04,0.0,0.0,0.0,1.23,0.96
( 2023/02/10 13:31:24.843) #left_data: ,0.09,0.0,0.05,0.0,0.0,0.0,1.25,0.98
( 2023/02/10 13:31:24.907) #left_data: ,0.09,0.01,0.08,0.01,0.0,0.0,1.24,0.96
( 2023/02/10 13:31:24.981) #left_data: ,0.09,0.01,0.08,0.01,0.0,0.0,1.24,0.96
( 2023/02/10 13:31:25.057) #left_data: ,0.1,0.07,0.18,0.06,0.0,0.0,1.16,0.77
( 2023/02/10 13:31:25.127) #left_data: ,0.1,0.07,0.18,0.06,0.0,0.0,1.16,0.77
( 2023/02/10 13:31:25.191) #left_data: ,0.1,0.05,0.17,0.06,0.0,0.0,1.18,0.82
( 2023/02/10 13:31:25.258) #left_data: ,0.08,0.03,0.14,0.05,0.0,0.0,1.19,0.83
( 2023/02/10 13:31:25.333) #left_data: ,0.08,0.02,0.11,0.04,0.0,0.0,1.2,0.84
( 2023/02/10 13:31:25.405) #left_data: ,0.05,0.0,0.08,0.03,0.0,0.0,1.2,0.85
( 2023/02/10 13:31:25.474) #left_data: ,0.04,0.0,0.07,0.03,0.0,0.0,1.19,0.85
( 2023/02/10 13:31:25.540) #left_data: ,0.04,0.0,0.06,0.03,0.0,0.0,1.18,0.84
( 2023/02/10 13:31:25.606) #left_data: ,0.03,0.0,0.05,0.02,0.0,0.0,1.17,0.83
( 2023/02/10 13:31:25.676) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.17,0.84
( 2023/02/10 13:31:25.747) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,1.21,0.91
( 2023/02/10 13:31:25.814) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.15
( 2023/02/10 13:31:25.875) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.21
( 2023/02/10 13:31:25.945) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.21
( 2023/02/10 13:31:26.027) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.21
( 2023/02/10 13:31:26.098) #left_data: ,0.0,0.0,0.03,0.0,0.0,0.0,0.21,1.16
( 2023/02/10 13:31:26.160) #left_data: ,0.0,0.02,0.08,0.01,0.0,0.0,0.04,1.1
( 2023/02/10 13:31:26.227) #left_data: ,0.0,0.08,0.14,0.03,0.0,0.0,1.23,1.01
( 2023/02/10 13:31:26.297) #left_data: ,0.0,0.08,0.17,0.04,0.0,0.0,0.99,0.75
( 2023/02/10 13:31:26.375) #left_data: ,0.0,0.09,0.2,0.04,0.0,0.0,0.91,0.64
( 2023/02/10 13:31:26.437) #left_data: ,0.0,0.07,0.21,0.05,0.0,0.0,0.82,0.51
( 2023/02/10 13:31:26.500) #left_data: ,0.02,0.01,0.1,0.02,0.0,0.0,0.85,0.57
( 2023/02/10 13:31:26.564) #left_data: ,0.02,0.01,0.1,0.02,0.0,0.0,0.85,0.57
( 2023/02/10 13:31:26.633) #left_data: ,0.03,0.0,0.08,0.01,0.0,0.0,0.89,0.6
( 2023/02/10 13:31:26.704) #left_data: ,0.02,0.0,0.06,0.0,0.0,0.0,0.93,0.63
( 2023/02/10 13:31:26.774) #left_data: ,0.02,0.0,0.06,0.0,0.0,0.0,0.93,0.63
( 2023/02/10 13:31:26.835) #left_data: ,0.02,0.0,0.07,0.0,0.0,0.0,0.89,0.61
( 2023/02/10 13:31:26.898) #left_data: ,0.04,0.0,0.08,0.0,0.0,0.0,0.88,0.59
( 2023/02/10 13:31:26.968) #left_data: ,0.04,0.0,0.08,0.0,0.0,0.0,0.88,0.59
( 2023/02/10 13:31:27.040) #left_data: ,0.05,0.0,0.04,0.0,0.0,0.0,0.92,0.62
( 2023/02/10 13:31:27.112) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.76
( 2023/02/10 13:31:27.175) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.1
( 2023/02/10 13:31:27.240) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.17
( 2023/02/10 13:31:27.311) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.18
( 2023/02/10 13:31:27.382) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.39,1.18
