( 2023/02/10 13:30:53.254) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/10 13:31:23.700) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:23.760) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:23.820) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:23.890) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:23.961) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:24.035) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:24.103) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:24.164) #right_data: ,0.15,0.46,0.42,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:24.232) #right_data: ,0.15,0.45,0.41,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:24.308) #right_data: ,0.15,0.44,0.4,0.0,0.0,0.01,0.23,0.11
( 2023/02/10 13:31:24.383) #right_data: ,0.08,0.34,0.33,0.0,0.0,0.01,0.24,0.14
( 2023/02/10 13:31:24.448) #right_data: ,0.05,0.24,0.27,0.0,0.0,0.01,0.23,0.15
( 2023/02/10 13:31:24.509) #right_data: ,0.01,0.0,0.02,0.0,0.0,0.01,0.39,0.26
( 2023/02/10 13:31:24.577) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.43,0.29
( 2023/02/10 13:31:24.648) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.02,0.47,0.3
( 2023/02/10 13:31:24.724) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.25
( 2023/02/10 13:31:24.787) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.25
( 2023/02/10 13:31:24.848) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.26
( 2023/02/10 13:31:24.916) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.16
( 2023/02/10 13:31:24.993) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.15
( 2023/02/10 13:31:25.068) #right_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.14,0.07
( 2023/02/10 13:31:25.136) #right_data: ,0.14,0.04,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 13:31:25.197) #right_data: ,0.3,0.02,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 13:31:25.268) #right_data: ,0.24,0.03,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 13:31:25.340) #right_data: ,0.02,0.0,0.01,0.0,0.0,0.0,0.04,0.02
( 2023/02/10 13:31:25.417) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.23
( 2023/02/10 13:31:25.480) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.37
( 2023/02/10 13:31:25.546) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.38
