( 2023/02/09 15:46:50.487) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 15:47:53.653) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:53.717) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:53.783) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:53.853) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:53.911) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:53.971) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.036) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.104) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.165) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.223) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.281) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.341) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.409) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.476) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.538) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.597) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.656) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.721) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.789) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.855) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.912) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:54.971) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:55.035) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:55.099) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:55.161) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:55.221) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:55.279) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:55.339) #left_data: ,0,0,0,0.07,0,0,0,0
