( 2023/02/09 15:46:50.494) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 15:47:53.659) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:53.725) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:53.791) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:53.857) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:53.915) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:53.977) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.045) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.110) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.168) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.226) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.284) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.348) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.415) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.483) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.542) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.600) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.662) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.729) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.798) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.858) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.915) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:54.978) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.041) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.105) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.164) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.225) #right_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.281) #right_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.346) #right_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.411) #right_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.475) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.538) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.597) #right_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 15:47:55.663) #right_data: ,0.03,0,0,0,0,0,0,0
