( 2023/02/09 14:30:00.432) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 14:30:33.557) #left_data: ,0,0,0.08,0.08,0,0.04,0.29,0.12
( 2023/02/09 14:30:33.617) #left_data: ,0,0,0.08,0.08,0,0.04,0.29,0.12
( 2023/02/09 14:30:33.676) #left_data: ,0,0,0.08,0.08,0,0.04,0.3,0.12
( 2023/02/09 14:30:33.741) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:33.809) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:33.880) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:33.945) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:34.008) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:34.071) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:34.140) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.206) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.281) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.346) #left_data: ,0,0,0.08,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.417) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:34.491) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.12
( 2023/02/09 14:30:34.564) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.625) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.692) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.12
( 2023/02/09 14:30:34.762) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:34.834) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.905) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:34.967) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:35.032) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:35.106) #left_data: ,0,0,0.09,0.08,0,0.05,0.3,0.13
( 2023/02/09 14:30:35.178) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.247) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.309) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.373) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.444) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.12
( 2023/02/09 14:30:35.517) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.12
( 2023/02/09 14:30:35.584) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.12
( 2023/02/09 14:30:35.646) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.12
( 2023/02/09 14:30:35.708) #left_data: ,0,0,0.09,0.09,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.771) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.844) #left_data: ,0,0,0.09,0.09,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.916) #left_data: ,0,0,0.09,0.09,0,0.06,0.3,0.13
( 2023/02/09 14:30:35.983) #left_data: ,0,0,0.09,0.09,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.049) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.120) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.194) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.264) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.327) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.390) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.460) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.532) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.601) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.664) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.728) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.797) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.871) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:36.943) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:37.019) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:37.082) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:37.152) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:37.222) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.291) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.357) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.418) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.481) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.553) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.624) #left_data: ,0,0,0.1,0.07,0,0.06,0.31,0.14
( 2023/02/09 14:30:37.692) #left_data: ,0,0,0.1,0.07,0,0.07,0.31,0.14
( 2023/02/09 14:30:37.755) #left_data: ,0,0,0.1,0.07,0,0.07,0.31,0.14
( 2023/02/09 14:30:37.824) #left_data: ,0,0,0.1,0.07,0,0.07,0.31,0.14
( 2023/02/09 14:30:37.896) #left_data: ,0,0,0.1,0.08,0,0.07,0.31,0.14
( 2023/02/09 14:30:37.968) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.040) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.105) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.174) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.244) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.314) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.378) #left_data: ,0,0,0.1,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.439) #left_data: ,0,0,0.09,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.502) #left_data: ,0,0,0.09,0.08,0,0.06,0.31,0.14
( 2023/02/09 14:30:38.572) #left_data: ,0,0,0.1,0.08,0,0.07,0.3,0.13
( 2023/02/09 14:30:38.643) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:38.717) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:38.781) #left_data: ,0,0,0.1,0.08,0,0.06,0.29,0.13
( 2023/02/09 14:30:38.849) #left_data: ,0,0,0.1,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:38.921) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:38.987) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:39.051) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:39.116) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:39.184) #left_data: ,0,0,0.09,0.08,0,0.06,0.29,0.13
( 2023/02/09 14:30:39.254) #left_data: ,0,0,0.09,0.09,0,0.06,0.29,0.13
( 2023/02/09 14:30:39.322) #left_data: ,0,0,0.09,0.09,0,0.06,0.29,0.13
( 2023/02/09 14:30:39.383) #left_data: ,0,0,0.09,0.08,0,0.06,0.29,0.13
( 2023/02/09 14:30:39.445) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.13
( 2023/02/09 14:30:39.512) #left_data: ,0,0,0.08,0.08,0,0.06,0.3,0.14
( 2023/02/09 14:30:39.584) #left_data: ,0,0,0.08,0.08,0,0.06,0.3,0.14
( 2023/02/09 14:30:39.656) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.14
( 2023/02/09 14:30:39.718) #left_data: ,0,0,0.09,0.08,0,0.06,0.3,0.14
( 2023/02/09 14:30:39.782) #left_data: ,0,0,0.09,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:39.852) #left_data: ,0,0,0.09,0.08,0,0.05,0.31,0.14
( 2023/02/09 14:30:39.922) #left_data: ,0,0,0.09,0.08,0,0.05,0.31,0.14
( 2023/02/09 14:30:39.995) #left_data: ,0,0,0.1,0.09,0,0.05,0.31,0.14
