( 2023/02/09 14:30:00.440) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 14:30:33.562) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.07,0.1
( 2023/02/09 14:30:33.621) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.07,0.1
( 2023/02/09 14:30:33.680) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.06,0.1
( 2023/02/09 14:30:33.749) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.06,0.1
( 2023/02/09 14:30:33.819) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.1
( 2023/02/09 14:30:33.888) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.1
( 2023/02/09 14:30:33.951) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.1
( 2023/02/09 14:30:34.011) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.1
( 2023/02/09 14:30:34.083) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.1
( 2023/02/09 14:30:34.146) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.07,0.1
( 2023/02/09 14:30:34.217) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.1
( 2023/02/09 14:30:34.286) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.07,0.1
( 2023/02/09 14:30:34.355) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.07,0.1
( 2023/02/09 14:30:34.426) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.07,0.1
( 2023/02/09 14:30:34.501) #right_data: ,0.04,0,0.06,0.07,0,0.13,0.06,0.11
( 2023/02/09 14:30:34.569) #right_data: ,0.04,0,0.06,0.07,0,0.13,0.06,0.11
( 2023/02/09 14:30:34.632) #right_data: ,0.04,0,0.06,0.07,0,0.13,0.06,0.11
( 2023/02/09 14:30:34.700) #right_data: ,0.04,0,0.06,0.07,0,0.13,0.06,0.11
( 2023/02/09 14:30:34.772) #right_data: ,0.04,0,0.05,0.07,0,0.13,0.06,0.12
( 2023/02/09 14:30:34.844) #right_data: ,0.04,0,0.05,0.06,0,0.13,0.06,0.12
( 2023/02/09 14:30:34.911) #right_data: ,0.04,0,0.05,0.06,0,0.13,0.06,0.11
( 2023/02/09 14:30:34.973) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.12
( 2023/02/09 14:30:35.040) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.06,0.12
( 2023/02/09 14:30:35.116) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.07,0.12
( 2023/02/09 14:30:35.188) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.07,0.12
( 2023/02/09 14:30:35.251) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.07,0.12
( 2023/02/09 14:30:35.315) #right_data: ,0.04,0,0.06,0.06,0,0.14,0.07,0.12
( 2023/02/09 14:30:35.382) #right_data: ,0.04,0,0.05,0.07,0,0.14,0.07,0.12
( 2023/02/09 14:30:35.455) #right_data: ,0.03,0,0.05,0.08,0,0.14,0.07,0.12
( 2023/02/09 14:30:35.526) #right_data: ,0.04,0,0.06,0.08,0,0.15,0.08,0.13
( 2023/02/09 14:30:35.590) #right_data: ,0.04,0,0.06,0.08,0,0.15,0.09,0.13
( 2023/02/09 14:30:35.652) #right_data: ,0.04,0,0.06,0.09,0,0.15,0.09,0.14
( 2023/02/09 14:30:35.712) #right_data: ,0.04,0,0.06,0.09,0,0.15,0.09,0.14
( 2023/02/09 14:30:35.781) #right_data: ,0.04,0,0.06,0.08,0,0.15,0.09,0.14
( 2023/02/09 14:30:35.853) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.14
( 2023/02/09 14:30:35.924) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.1,0.14
( 2023/02/09 14:30:35.990) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:36.059) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:36.132) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.14
( 2023/02/09 14:30:36.203) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.14
( 2023/02/09 14:30:36.270) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.14
( 2023/02/09 14:30:36.332) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.1,0.14
( 2023/02/09 14:30:36.399) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.1,0.14
( 2023/02/09 14:30:36.470) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.1,0.14
( 2023/02/09 14:30:36.541) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.14
( 2023/02/09 14:30:36.606) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.14
( 2023/02/09 14:30:36.669) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.14
( 2023/02/09 14:30:36.736) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:36.808) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:36.880) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:36.948) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.023) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.090) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.161) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.230) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.300) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.362) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:37.422) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:37.490) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.562) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.633) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.697) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.763) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.834) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.907) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:37.981) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.046) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.113) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.183) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.254) #right_data: ,0.03,0,0.07,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.322) #right_data: ,0.03,0,0.07,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.384) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.443) #right_data: ,0.03,0,0.06,0.06,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.511) #right_data: ,0.03,0,0.06,0.06,0,0.13,0.1,0.13
( 2023/02/09 14:30:38.580) #right_data: ,0.03,0,0.06,0.05,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.651) #right_data: ,0.03,0,0.06,0.05,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.722) #right_data: ,0.03,0,0.06,0.05,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.788) #right_data: ,0.03,0,0.06,0.05,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.859) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.929) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.991) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:39.057) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:39.123) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:39.193) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.263) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.327) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.388) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.452) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.521) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.598) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.662) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.723) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.790) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.861) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.934) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:40.003) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.062) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.122) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.190) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.258) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.327) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.388) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.450) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.516) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.587) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.657) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.720) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.779) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.845) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.915) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.988) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:41.053) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:41.112) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:41.178) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.246) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.315) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.377) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.437) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.503) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.572) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.642) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.705) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.764) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.831) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.899) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:41.967) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.030) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.089) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.156) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.221) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.287) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.348) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.410) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.476) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.546) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.617) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.685) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.745) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.810) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.878) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.953) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.020) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.080) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.137) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.208) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.276) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.344) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.406) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.464) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.528) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.595) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.665) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.730) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
