( 2023/02/09 15:59:18.371) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 16:00:04.085) #left_data: ,0.06,0.06,0.26,0.11,0,0.2,0.68,0.09
( 2023/02/09 16:00:04.145) #left_data: ,0.05,0.03,0.22,0.09,0,0.19,0.66,0.08
( 2023/02/09 16:00:04.206) #left_data: ,0.05,0.01,0.16,0.07,0,0.17,0.68,0.1
( 2023/02/09 16:00:04.277) #left_data: ,0.04,0,0.14,0.05,0,0.15,0.7,0.1
( 2023/02/09 16:00:04.349) #left_data: ,0.04,0,0.13,0.05,0,0.13,0.73,0.13
( 2023/02/09 16:00:04.427) #left_data: ,0.04,0,0.14,0.05,0,0.14,0.76,0.15
( 2023/02/09 16:00:04.494) #left_data: ,0.04,0,0.14,0.05,0,0.14,0.76,0.15
( 2023/02/09 16:00:04.562) #left_data: ,0.03,0,0.14,0.06,0,0.15,0.79,0.18
( 2023/02/09 16:00:04.633) #left_data: ,0.04,0,0.15,0.06,0,0.15,0.9,0.23
( 2023/02/09 16:00:04.705) #left_data: ,0.04,0,0.15,0.06,0,0.15,0.9,0.23
( 2023/02/09 16:00:04.775) #left_data: ,0.04,0,0.15,0.06,0,0.15,0.93,0.26
( 2023/02/09 16:00:04.839) #left_data: ,0.04,0,0.15,0.06,0,0.15,0.93,0.26
( 2023/02/09 16:00:04.907) #left_data: ,0.07,0.07,0.23,0.11,0,0.17,1.07,0.34
( 2023/02/09 16:00:04.978) #left_data: ,0.07,0.07,0.23,0.11,0,0.17,1.07,0.34
( 2023/02/09 16:00:05.051) #left_data: ,0.07,0.05,0.24,0.14,0,0.19,1.07,0.32
( 2023/02/09 16:00:05.122) #left_data: ,0.07,0.06,0.24,0.16,0,0.19,1.01,0.32
( 2023/02/09 16:00:05.185) #left_data: ,0.07,0.04,0.25,0.16,0,0.19,1.04,0.33
( 2023/02/09 16:00:05.252) #left_data: ,0.07,0.02,0.24,0.16,0,0.2,1.09,0.36
( 2023/02/09 16:00:05.321) #left_data: ,0.06,0,0.21,0.14,0,0.19,1.34,0.57
( 2023/02/09 16:00:05.392) #left_data: ,0.06,0,0.21,0.14,0,0.2,1.53,0.79
( 2023/02/09 16:00:05.459) #left_data: ,0.05,0,0.21,0.16,0,0.2,1.59,0.85
( 2023/02/09 16:00:05.526) #left_data: ,0.05,0,0.22,0.17,0,0.21,1.63,0.93
( 2023/02/09 16:00:05.593) #left_data: ,0.04,0,0.23,0.16,0,0.21,1.65,0.94
( 2023/02/09 16:00:05.657) #left_data: ,0.04,0.01,0.25,0.18,0,0.22,1.59,0.88
( 2023/02/09 16:00:05.729) #left_data: ,0.07,0.06,0.29,0.21,0,0.24,1.53,0.85
( 2023/02/09 16:00:05.800) #left_data: ,0.08,0.08,0.32,0.21,0,0.25,1.53,0.78
( 2023/02/09 16:00:05.863) #left_data: ,0.09,0.12,0.35,0.24,0,0.26,1.37,0.65
( 2023/02/09 16:00:05.927) #left_data: ,0.09,0.12,0.35,0.24,0,0.26,1.37,0.65
( 2023/02/09 16:00:05.998) #left_data: ,0.12,0.19,0.41,0.29,0,0.3,0.96,0.3
( 2023/02/09 16:00:06.068) #left_data: ,0.12,0.19,0.42,0.3,0,0.3,0.99,0.3
( 2023/02/09 16:00:06.138) #left_data: ,0.13,0.19,0.42,0.29,0,0.3,1.11,0.4
( 2023/02/09 16:00:06.202) #left_data: ,0.12,0.18,0.4,0.26,0,0.28,1.11,0.39
( 2023/02/09 16:00:06.269) #left_data: ,0.09,0.14,0.31,0.2,0,0.25,1.19,0.45
( 2023/02/09 16:00:06.338) #left_data: ,0.09,0.14,0.31,0.2,0,0.25,1.19,0.45
( 2023/02/09 16:00:06.408) #left_data: ,0.07,0.1,0.27,0.16,0,0.23,1.11,0.41
( 2023/02/09 16:00:06.479) #left_data: ,0.04,0.03,0.18,0.11,0,0.2,0.79,0.23
( 2023/02/09 16:00:06.543) #left_data: ,0.04,0.03,0.18,0.11,0,0.2,0.79,0.23
( 2023/02/09 16:00:06.606) #left_data: ,0.04,0.02,0.17,0.1,0,0.19,0.65,0.07
( 2023/02/09 16:00:06.676) #left_data: ,0.04,0.02,0.16,0.09,0,0.18,0.57,1.25
( 2023/02/09 16:00:06.752) #left_data: ,0.04,0.02,0.16,0.09,0,0.18,0.57,1.25
( 2023/02/09 16:00:06.821) #left_data: ,0.05,0.03,0.19,0.13,0,0.19,0.46,1.21
( 2023/02/09 16:00:06.883) #left_data: ,0.05,0.03,0.19,0.13,0,0.19,0.46,1.21
( 2023/02/09 16:00:06.945) #left_data: ,0.05,0.04,0.19,0.13,0,0.19,0.46,1.21
( 2023/02/09 16:00:07.011) #left_data: ,0.05,0.03,0.18,0.13,0,0.19,0.41,1.2
( 2023/02/09 16:00:07.081) #left_data: ,0.05,0.03,0.18,0.13,0,0.19,0.41,1.2
( 2023/02/09 16:00:07.153) #left_data: ,0.06,0.03,0.19,0.13,0,0.2,0.57,1.25
( 2023/02/09 16:00:07.218) #left_data: ,0.06,0.03,0.19,0.13,0,0.2,0.57,1.25
( 2023/02/09 16:00:07.280) #left_data: ,0.06,0.04,0.2,0.14,0,0.2,0.63,0.01
( 2023/02/09 16:00:07.348) #left_data: ,0.06,0.04,0.2,0.13,0,0.2,0.72,0.07
( 2023/02/09 16:00:07.418) #left_data: ,0.06,0.04,0.2,0.13,0,0.2,0.78,0.11
( 2023/02/09 16:00:07.490) #left_data: ,0.06,0.04,0.2,0.13,0,0.2,0.79,0.13
( 2023/02/09 16:00:07.557) #left_data: ,0.06,0.04,0.2,0.14,0,0.2,0.79,0.13
( 2023/02/09 16:00:07.617) #left_data: ,0.06,0.04,0.2,0.14,0,0.2,0.79,0.13
( 2023/02/09 16:00:07.680) #left_data: ,0.06,0.04,0.2,0.14,0,0.2,0.84,0.16
( 2023/02/09 16:00:07.751) #left_data: ,0.06,0.03,0.2,0.14,0,0.21,0.85,0.19
( 2023/02/09 16:00:07.822) #left_data: ,0.06,0.03,0.2,0.14,0,0.21,0.85,0.19
( 2023/02/09 16:00:07.889) #left_data: ,0.06,0.04,0.21,0.15,0,0.22,0.87,0.22
( 2023/02/09 16:00:07.952) #left_data: ,0.06,0.04,0.21,0.15,0,0.22,0.87,0.22
( 2023/02/09 16:00:08.016) #left_data: ,0.06,0.04,0.21,0.16,0,0.22,0.9,0.23
( 2023/02/09 16:00:08.085) #left_data: ,0.06,0.04,0.21,0.16,0,0.23,0.91,0.25
( 2023/02/09 16:00:08.153) #left_data: ,0.06,0.04,0.21,0.16,0,0.23,0.91,0.25
( 2023/02/09 16:00:08.219) #left_data: ,0.07,0.03,0.21,0.16,0,0.23,0.91,0.27
( 2023/02/09 16:00:08.284) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.9,0.26
( 2023/02/09 16:00:08.352) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.9,0.26
( 2023/02/09 16:00:08.424) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.94,0.27
( 2023/02/09 16:00:08.493) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.94,0.27
( 2023/02/09 16:00:08.560) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.93,0.27
( 2023/02/09 16:00:08.620) #left_data: ,0.07,0.03,0.19,0.15,0,0.23,0.93,0.26
( 2023/02/09 16:00:08.686) #left_data: ,0.07,0.03,0.19,0.15,0,0.23,0.93,0.26
( 2023/02/09 16:00:08.758) #left_data: ,0.07,0.03,0.2,0.15,0,0.23,0.96,0.27
( 2023/02/09 16:00:08.830) #left_data: ,0.07,0.03,0.2,0.15,0,0.23,0.96,0.26
( 2023/02/09 16:00:08.900) #left_data: ,0.07,0.03,0.2,0.15,0,0.23,0.94,0.28
( 2023/02/09 16:00:08.961) #left_data: ,0.07,0.03,0.2,0.15,0,0.23,0.94,0.28
( 2023/02/09 16:00:09.028) #left_data: ,0.07,0.03,0.2,0.15,0,0.23,0.94,0.29
( 2023/02/09 16:00:09.099) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.96,0.28
( 2023/02/09 16:00:09.171) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.98,0.3
( 2023/02/09 16:00:09.236) #left_data: ,0.07,0.03,0.2,0.16,0,0.23,0.98,0.3
( 2023/02/09 16:00:09.300) #left_data: ,0.07,0.03,0.21,0.17,0,0.24,0.99,0.32
( 2023/02/09 16:00:09.367) #left_data: ,0.07,0.05,0.24,0.19,0,0.25,0.94,0.29
( 2023/02/09 16:00:09.439) #left_data: ,0.07,0.07,0.27,0.23,0,0.27,0.96,0.3
( 2023/02/09 16:00:09.508) #left_data: ,0.08,0.08,0.27,0.24,0,0.28,0.98,0.3
( 2023/02/09 16:00:09.576) #left_data: ,0.09,0.09,0.28,0.23,0,0.28,0.99,0.32
( 2023/02/09 16:00:09.637) #left_data: ,0.09,0.09,0.28,0.24,0,0.28,1.07,0.36
( 2023/02/09 16:00:09.700) #left_data: ,0.09,0.09,0.28,0.24,0,0.28,1.07,0.36
( 2023/02/09 16:00:09.769) #left_data: ,0.08,0.08,0.27,0.22,0,0.27,1.14,0.45
( 2023/02/09 16:00:09.843) #left_data: ,0.08,0.08,0.27,0.22,0,0.27,1.14,0.45
( 2023/02/09 16:00:09.910) #left_data: ,0.08,0.08,0.27,0.22,0,0.27,1.14,0.45
( 2023/02/09 16:00:09.971) #left_data: ,0.08,0.06,0.26,0.21,0,0.27,1.21,0.46
( 2023/02/09 16:00:10.035) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.23,0.51
( 2023/02/09 16:00:10.104) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.23,0.51
( 2023/02/09 16:00:10.177) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.21,0.5
( 2023/02/09 16:00:10.243) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.19,0.47
( 2023/02/09 16:00:10.303) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.18,0.49
( 2023/02/09 16:00:10.371) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.18,0.49
( 2023/02/09 16:00:10.440) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.19,0.46
( 2023/02/09 16:00:10.511) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.21,0.47
( 2023/02/09 16:00:10.582) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.16,0.49
( 2023/02/09 16:00:10.642) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.16,0.49
( 2023/02/09 16:00:10.718) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.19,0.49
( 2023/02/09 16:00:10.788) #left_data: ,0.08,0.05,0.25,0.19,0,0.26,1.18,0.47
( 2023/02/09 16:00:10.863) #left_data: ,0.08,0.05,0.24,0.19,0,0.26,1.18,0.49
( 2023/02/09 16:00:10.929) #left_data: ,0.08,0.05,0.24,0.19,0,0.26,1.18,0.49
( 2023/02/09 16:00:10.990) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.19,0.49
( 2023/02/09 16:00:11.054) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.21,0.49
( 2023/02/09 16:00:11.122) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.19,0.51
( 2023/02/09 16:00:11.193) #left_data: ,0.08,0.04,0.23,0.19,0,0.26,1.19,0.49
( 2023/02/09 16:00:11.260) #left_data: ,0.08,0.04,0.23,0.19,0,0.26,1.19,0.49
( 2023/02/09 16:00:11.319) #left_data: ,0.08,0.04,0.23,0.19,0,0.26,1.21,0.5
( 2023/02/09 16:00:11.381) #left_data: ,0.08,0.04,0.23,0.19,0,0.26,1.21,0.5
( 2023/02/09 16:00:11.451) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.21,0.5
( 2023/02/09 16:00:11.521) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.21,0.51
( 2023/02/09 16:00:11.588) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.21,0.5
( 2023/02/09 16:00:11.648) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.21,0.5
( 2023/02/09 16:00:11.709) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.23,0.51
( 2023/02/09 16:00:11.775) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.25,0.51
( 2023/02/09 16:00:11.844) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.25,0.51
( 2023/02/09 16:00:11.909) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.19,0.51
( 2023/02/09 16:00:11.969) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.19,0.53
( 2023/02/09 16:00:12.030) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.19,0.53
( 2023/02/09 16:00:12.089) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.19,0.53
( 2023/02/09 16:00:12.147) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.25,0.51
( 2023/02/09 16:00:12.205) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.25,0.51
( 2023/02/09 16:00:12.269) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.25,0.53
( 2023/02/09 16:00:12.329) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.25,0.53
( 2023/02/09 16:00:12.392) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.23,0.53
( 2023/02/09 16:00:12.456) #left_data: ,0.08,0.04,0.24,0.19,0,0.26,1.26,0.51
