( 2023/02/09 15:59:18.379) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 16:00:04.090) #right_data: ,0.31,0,0.05,0.31,0,0.41,2.28,0.99
( 2023/02/09 16:00:04.149) #right_data: ,0.31,0,0.05,0.31,0,0.41,2.31,1.04
( 2023/02/09 16:00:04.215) #right_data: ,0.29,0,0.05,0.31,0,0.41,2.34,1.09
( 2023/02/09 16:00:04.287) #right_data: ,0.27,0,0.04,0.31,0,0.41,2.36,1.12
( 2023/02/09 16:00:04.364) #right_data: ,0.27,0,0.04,0.31,0,0.41,2.42,1.16
( 2023/02/09 16:00:04.436) #right_data: ,0.27,0,0.05,0.31,0,0.41,2.44,1.14
( 2023/02/09 16:00:04.502) #right_data: ,0.27,0,0.05,0.27,0,0.4,2.39,1.16
( 2023/02/09 16:00:04.571) #right_data: ,0.27,0,0.05,0.27,0,0.39,2.42,1.14
( 2023/02/09 16:00:04.642) #right_data: ,0.27,0,0.05,0.28,0,0.39,2.36,1.14
( 2023/02/09 16:00:04.714) #right_data: ,0.27,0,0.06,0.28,0,0.38,2.36,1.12
( 2023/02/09 16:00:04.783) #right_data: ,0.24,0,0.07,0.28,0,0.38,2.31,1.02
( 2023/02/09 16:00:04.849) #right_data: ,0.23,0,0.07,0.28,0,0.38,2.26,1.01
( 2023/02/09 16:00:04.916) #right_data: ,0.22,0,0.08,0.29,0,0.38,2.26,0.99
( 2023/02/09 16:00:04.989) #right_data: ,0.21,0,0.08,0.29,0,0.37,2.23,0.99
( 2023/02/09 16:00:05.060) #right_data: ,0.2,0,0.07,0.3,0,0.38,2.11,0.96
( 2023/02/09 16:00:05.127) #right_data: ,0.2,0.01,0.06,0.31,0,0.38,2.06,0.93
( 2023/02/09 16:00:05.192) #right_data: ,0.19,0,0.06,0.3,0,0.39,2.08,0.98
( 2023/02/09 16:00:05.263) #right_data: ,0.1,0,0.05,0.2,0,0.37,2.23,1.11
( 2023/02/09 16:00:05.329) #right_data: ,0.06,0,0.04,0.15,0,0.33,2.26,1.16
( 2023/02/09 16:00:05.402) #right_data: ,0.01,0,0.06,0.15,0,0.32,2.28,1.19
( 2023/02/09 16:00:05.465) #right_data: ,0,0,0.07,0.16,0,0.31,2.26,1.18
( 2023/02/09 16:00:05.536) #right_data: ,0.01,0,0.08,0.16,0,0.29,2.26,1.16
( 2023/02/09 16:00:05.598) #right_data: ,0.04,0,0.08,0.16,0,0.28,2.23,1.18
( 2023/02/09 16:00:05.665) #right_data: ,0.06,0,0.09,0.19,0,0.3,2.11,1.07
( 2023/02/09 16:00:05.740) #right_data: ,0.06,0,0.09,0.19,0,0.3,2.11,1.07
( 2023/02/09 16:00:05.805) #right_data: ,0.1,0.09,0.14,0.23,0,0.31,1.94,0.75
( 2023/02/09 16:00:05.869) #right_data: ,0.16,0.21,0.24,0.3,0,0.33,1.53,0.25
( 2023/02/09 16:00:05.936) #right_data: ,0.2,0.33,0.3,0.43,0,0.36,1.26,1.24
( 2023/02/09 16:00:06.007) #right_data: ,0.2,0.33,0.3,0.43,0,0.36,1.26,1.24
( 2023/02/09 16:00:06.077) #right_data: ,0.17,0.33,0.33,0.48,0,0.39,0.99,1.19
( 2023/02/09 16:00:06.145) #right_data: ,0.18,0.31,0.33,0.5,0,0.39,0.98,1.21
( 2023/02/09 16:00:06.207) #right_data: ,0.2,0.3,0.33,0.48,0,0.39,1.01,1.23
( 2023/02/09 16:00:06.277) #right_data: ,0.18,0.27,0.32,0.47,0,0.39,1.14,0.02
( 2023/02/09 16:00:06.347) #right_data: ,0.19,0.25,0.31,0.46,0,0.39,1.25,0.07
( 2023/02/09 16:00:06.418) #right_data: ,0.19,0.25,0.3,0.42,0,0.38,1.47,0.38
( 2023/02/09 16:00:06.485) #right_data: ,0.18,0.25,0.29,0.38,0,0.37,1.36,0.28
