( 2023/02/09 17:05:27.969) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:05:36.898) #left_data: ,0.29,0.31,0.84,0.75,0.0,0.39,2.73,0.82
( 2023/02/09 17:05:36.960) #left_data: ,0.28,0.3,0.82,0.75,0.0,0.38,2.76,0.82
( 2023/02/09 17:05:37.022) #left_data: ,0.28,0.29,0.82,0.75,0.0,0.38,2.7,0.82
( 2023/02/09 17:05:37.089) #left_data: ,0.28,0.29,0.82,0.75,0.0,0.38,2.7,0.82
( 2023/02/09 17:05:37.162) #left_data: ,0.28,0.3,0.82,0.75,0.0,0.37,2.73,0.84
( 2023/02/09 17:05:37.244) #left_data: ,0.28,0.3,0.82,0.75,0.0,0.37,2.73,0.84
( 2023/02/09 17:05:37.317) #left_data: ,0.29,0.3,0.82,0.75,0.0,0.37,2.7,0.84
( 2023/02/09 17:05:40.150) #left_data: ,0.32,0.55,0.62,0.64,0.0,0.21,0.18,0.88
( 2023/02/09 17:05:40.210) #left_data: ,0.33,0.57,0.63,0.66,0.0,0.22,0.5,0.98
( 2023/02/09 17:05:40.273) #left_data: ,0.3,0.56,0.63,0.66,0.0,0.22,0.85,1.07
( 2023/02/09 17:05:40.346) #left_data: ,0.3,0.52,0.62,0.69,0.0,0.23,0.94,1.11
( 2023/02/09 17:05:40.418) #left_data: ,0.3,0.53,0.63,0.68,0.0,0.23,0.91,1.1
( 2023/02/09 17:05:40.491) #left_data: ,0.31,0.52,0.62,0.69,0.0,0.23,0.73,1.03
( 2023/02/09 17:05:40.557) #left_data: ,0.31,0.52,0.62,0.67,0.0,0.21,0.35,0.89
( 2023/02/09 17:05:40.620) #left_data: ,0.25,0.4,0.55,0.66,0.0,0.21,0.55,0.96
( 2023/02/09 17:05:40.686) #left_data: ,0.25,0.4,0.55,0.66,0.0,0.21,0.55,0.96
( 2023/02/09 17:05:40.768) #left_data: ,0.11,0.19,0.29,0.28,0.0,0.08,0.92,0.48
( 2023/02/09 17:05:40.838) #left_data: ,0.0,0.0,0.03,0.06,0.0,0.0,0.02,0.02
( 2023/02/09 17:05:40.900) #left_data: ,0.0,0.0,0.03,0.06,0.0,0.0,0.02,0.02
( 2023/02/09 17:05:40.964) #left_data: ,0.0,0.0,0.04,0.04,0.0,0.0,0.03,0.03
( 2023/02/09 17:05:41.030) #left_data: ,0.0,0.0,0.04,0.04,0.0,0.0,0.03,0.03
( 2023/02/09 17:05:41.100) #left_data: ,0.01,0.0,0.03,0.02,0.0,0.0,0.0,0.01
( 2023/02/09 17:05:41.167) #left_data: ,0.02,0.0,0.03,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:41.237) #left_data: ,0.02,0.0,0.04,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:41.298) #left_data: ,0.02,0.0,0.03,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:41.360) #left_data: ,0.0,0.0,0.0,0.02,0.0,0.0,0.8,0.64
( 2023/02/09 17:05:41.427) #left_data: ,0.03,0.0,0.04,0.1,0.0,0.0,0.96,0.89
