( 2023/02/09 17:05:27.977) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:05:36.903) #right_data: ,0.88,0.12,0.44,0.57,0.0,0.53,3.22,1.16
( 2023/02/09 17:05:36.965) #right_data: ,0.87,0.12,0.44,0.57,0.0,0.54,3.22,1.19
( 2023/02/09 17:05:37.028) #right_data: ,0.87,0.12,0.44,0.56,0.0,0.54,3.18,1.16
( 2023/02/09 17:05:37.100) #right_data: ,0.87,0.12,0.45,0.57,0.0,0.54,3.18,1.16
( 2023/02/09 17:05:37.172) #right_data: ,0.87,0.12,0.45,0.57,0.0,0.54,3.22,1.19
( 2023/02/09 17:05:37.257) #right_data: ,0.87,0.12,0.45,0.57,0.0,0.54,3.29,1.16
( 2023/02/09 17:05:37.323) #right_data: ,0.87,0.12,0.45,0.57,0.0,0.55,3.18,1.14
( 2023/02/09 17:05:40.155) #right_data: ,0.76,0.32,0.59,0.75,0.0,0.8,2.47,1.51
( 2023/02/09 17:05:40.215) #right_data: ,0.69,0.28,0.55,0.65,0.0,0.76,2.56,1.67
( 2023/02/09 17:05:40.283) #right_data: ,0.63,0.23,0.46,0.6,0.0,0.71,2.76,1.87
( 2023/02/09 17:05:40.356) #right_data: ,0.63,0.23,0.45,0.63,0.0,0.72,2.95,1.99
( 2023/02/09 17:05:40.428) #right_data: ,0.66,0.27,0.51,0.66,0.0,0.74,2.85,1.92
( 2023/02/09 17:05:40.498) #right_data: ,0.92,0.6,0.74,0.92,0.0,0.86,2.23,1.41
( 2023/02/09 17:05:40.562) #right_data: ,1.03,0.71,0.82,0.98,0.0,0.88,2.06,1.26
( 2023/02/09 17:05:40.627) #right_data: ,1.0,0.61,0.74,0.91,0.0,0.85,2.31,1.61
( 2023/02/09 17:05:40.697) #right_data: ,0.97,0.5,0.71,0.92,0.0,0.87,2.85,2.06
( 2023/02/09 17:05:40.779) #right_data: ,0.95,0.44,0.72,0.94,0.0,0.91,3.4,2.47
( 2023/02/09 17:05:40.843) #right_data: ,0.97,0.44,0.71,1.0,0.0,1.01,4.49,3.36
( 2023/02/09 17:05:40.907) #right_data: ,0.97,0.44,0.71,1.0,0.0,1.01,4.49,3.36
( 2023/02/09 17:05:40.970) #right_data: ,1.0,0.44,0.73,1.03,0.0,1.03,4.54,3.36
( 2023/02/09 17:05:41.040) #right_data: ,1.0,0.44,0.73,1.03,0.0,1.03,4.54,3.36
( 2023/02/09 17:05:41.106) #right_data: ,1.06,0.63,0.87,1.17,0.0,1.09,3.4,2.82
( 2023/02/09 17:05:41.177) #right_data: ,1.13,0.77,0.93,1.21,0.0,1.1,2.89,2.47
( 2023/02/09 17:05:41.242) #right_data: ,0.81,1.26,1.11,1.26,0.0,1.06,1.96,1.16
( 2023/02/09 17:05:41.303) #right_data: ,0.81,1.26,1.11,1.26,0.0,1.06,1.96,1.16
( 2023/02/09 17:05:41.367) #right_data: ,4.8,3.08,0.88,0.02,0.0,0.29,0.0,0.0
( 2023/02/09 17:05:41.436) #right_data: ,4.8,3.08,0.88,0.02,0.0,0.29,0.0,0.0
( 2023/02/09 17:05:41.511) #right_data: ,4.8,3.08,0.88,0.02,0.0,0.29,0.0,0.0
( 2023/02/09 17:05:41.576) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.01,0.06,0.07
( 2023/02/09 17:05:41.637) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.01,0.06,0.07
( 2023/02/09 17:05:41.707) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.01,0.06,0.07
( 2023/02/09 17:05:41.772) #right_data: ,0.53,0.0,0.0,0.0,0.0,0.01,0.03,0.04
( 2023/02/09 17:05:41.844) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.01,0.01,0.02
( 2023/02/09 17:05:41.909) #right_data: ,0.61,0.0,0.0,0.0,0.0,0.08,0.0,0.0
( 2023/02/09 17:05:41.969) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.06,0.0,0.0
( 2023/02/09 17:05:42.036) #right_data: ,0.38,0.0,0.0,0.0,0.0,0.05,0.0,0.0
( 2023/02/09 17:05:42.108) #right_data: ,0.34,0.0,0.0,0.0,0.0,0.07,6.49,4.96
( 2023/02/09 17:05:42.186) #right_data: ,0.69,0.0,0.0,0.0,0.0,0.03,6.06,4.54
( 2023/02/09 17:05:42.250) #right_data: ,0.59,0.0,0.0,0.07,0.0,0.3,6.88,4.96
( 2023/02/09 17:05:42.311) #right_data: ,1.47,0.12,0.1,0.2,0.0,0.42,4.85,3.55
( 2023/02/09 17:05:42.379) #right_data: ,1.47,0.12,0.1,0.2,0.0,0.42,4.85,3.55
( 2023/02/09 17:05:42.454) #right_data: ,1.61,0.32,0.27,0.29,0.0,0.47,3.47,2.53
( 2023/02/09 17:05:42.526) #right_data: ,1.61,0.32,0.27,0.29,0.0,0.47,3.47,2.53
( 2023/02/09 17:05:42.592) #right_data: ,3.01,1.65,1.17,0.92,0.0,0.57,0.65,0.41
( 2023/02/09 17:05:42.652) #right_data: ,6.49,4.3,0.11,0.37,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:42.713) #right_data: ,6.65,3.4,0.85,0.16,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:42.786) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:42.861) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:42.927) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:42.988) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.057) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.130) #right_data: ,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.202) #right_data: ,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.266) #right_data: ,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.327) #right_data: ,0.13,0.0,0.02,0.0,0.0,0.0,4.75,3.95
( 2023/02/09 17:05:43.394) #right_data: ,0.28,0.0,0.02,0.0,0.0,0.08,5.48,4.75
( 2023/02/09 17:05:43.466) #right_data: ,0.61,0.0,0.0,0.03,0.0,0.72,5.79,4.9
( 2023/02/09 17:05:43.539) #right_data: ,0.88,0.0,0.0,0.42,0.0,0.04,4.49,4.08
( 2023/02/09 17:05:43.602) #right_data: ,0.88,0.0,0.0,0.42,0.0,0.04,4.49,4.08
( 2023/02/09 17:05:43.662) #right_data: ,1.16,0.0,0.07,0.99,0.0,0.79,2.21,1.83
( 2023/02/09 17:05:43.732) #right_data: ,1.16,0.0,0.07,0.99,0.0,0.79,2.21,1.83
( 2023/02/09 17:05:43.805) #right_data: ,1.3,0.39,0.72,1.1,0.02,0.38,1.18,0.08
( 2023/02/09 17:05:43.876) #right_data: ,2.64,1.19,0.98,1.13,0.03,0.16,1.11,0.65
( 2023/02/09 17:05:43.939) #right_data: ,5.42,3.29,0.34,0.88,0.0,0.21,0.0,0.0
( 2023/02/09 17:05:43.999) #right_data: ,5.79,1.01,0.71,0.28,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.067) #right_data: ,4.26,0.59,0.14,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.136) #right_data: ,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.208) #right_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.269) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.333) #right_data: ,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.396) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.467) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
