( 2023/02/09 17:11:46.344) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:12:23.605) #left_data: ,1,0.12,1.06,2.92,0,1.16,0.04,0.44
( 2023/02/09 17:12:23.666) #left_data: ,1,0.12,1.06,2.92,0,1.16,0.03,0.44
( 2023/02/09 17:12:23.725) #left_data: ,1,0.12,1.06,2.89,0,1.16,0.02,0.44
( 2023/02/09 17:12:23.786) #left_data: ,1,0.12,1.06,2.92,0,1.14,0.03,0.44
( 2023/02/09 17:12:23.853) #left_data: ,1,0.12,1.06,2.92,0,1.16,0.02,0.44
( 2023/02/09 17:12:23.923) #left_data: ,1,0.13,1.07,2.92,0,1.16,0.03,0.44
( 2023/02/09 17:12:23.990) #left_data: ,1,0.12,1.07,2.95,0,1.16,0.03,0.44
( 2023/02/09 17:12:24.051) #left_data: ,1,0.12,1.07,2.92,0,1.14,0.03,0.44
( 2023/02/09 17:12:24.118) #left_data: ,1,0.13,1.07,2.95,0,1.14,0.03,0.43
( 2023/02/09 17:12:24.189) #left_data: ,0.99,0.12,1.07,2.95,0,1.14,0.02,0.44
( 2023/02/09 17:12:24.260) #left_data: ,0.99,0.12,1.07,2.95,0,1.16,0.03,0.44
( 2023/02/09 17:12:24.330) #left_data: ,0.99,0.13,1.07,2.98,0,1.18,0.04,0.44
( 2023/02/09 17:12:24.393) #left_data: ,1,0.15,1.08,2.98,0,1.18,0.3,0.49
( 2023/02/09 17:12:24.462) #left_data: ,1.08,0.22,1.2,3.05,0,1.37,1.92,0.93
( 2023/02/09 17:12:24.536) #left_data: ,1.08,0.17,1.04,2.76,0,1.23,2.89,0.1
( 2023/02/09 17:12:24.608) #left_data: ,1,0.12,0.54,1.49,0,0.21,2.95,0.63
( 2023/02/09 17:12:24.677) #left_data: ,1,0.12,0.54,1.49,0,0.21,2.95,0.63
( 2023/02/09 17:12:24.742) #left_data: ,1.09,0.21,0.68,1.63,0,0.22,2.73,0.27
( 2023/02/09 17:12:24.812) #left_data: ,0.2,0.31,1,2.47,0,0.68,0.66,0.61
( 2023/02/09 17:12:24.886) #left_data: ,0.2,0.31,1,2.47,0,0.68,0.66,0.61
