( 2023/02/09 17:11:46.352) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:12:23.610) #right_data: ,0.73,1.08,0.33,0.62,0,0.15,1.22,0.64
( 2023/02/09 17:12:23.670) #right_data: ,0.73,1.08,0.34,0.65,0,0.15,1.22,0.64
( 2023/02/09 17:12:23.728) #right_data: ,0.73,1.08,0.34,0.65,0,0.15,1.22,0.64
( 2023/02/09 17:12:23.795) #right_data: ,0.73,1.08,0.34,0.65,0,0.15,1.22,0.64
( 2023/02/09 17:12:23.861) #right_data: ,0.73,1.08,0.33,0.65,0,0.15,1.22,0.63
( 2023/02/09 17:12:23.933) #right_data: ,0.73,1.08,0.34,0.66,0,0.16,1.22,0.64
( 2023/02/09 17:12:23.995) #right_data: ,0.73,1.08,0.35,0.63,0,0.16,1.23,0.64
( 2023/02/09 17:12:24.057) #right_data: ,0.73,1.08,0.36,0.68,0,0.15,1.23,0.64
( 2023/02/09 17:12:24.128) #right_data: ,0.73,1.08,0.36,0.63,0,0.16,1.22,0.63
( 2023/02/09 17:12:24.198) #right_data: ,0.74,1.08,0.35,0.68,0,0.16,1.22,0.63
( 2023/02/09 17:12:24.272) #right_data: ,0.74,1.07,0.35,0.65,0,0.17,1.22,0.64
( 2023/02/09 17:12:24.337) #right_data: ,0.72,1,0.33,0.68,0,0.22,1.23,0.65
( 2023/02/09 17:12:24.400) #right_data: ,0.72,0.99,0.39,0.7,0,0.32,0.06,0.69
( 2023/02/09 17:12:24.474) #right_data: ,0.79,0.96,0.66,0.87,0,0.76,1.49,1.05
( 2023/02/09 17:12:24.546) #right_data: ,0.46,0.67,0.15,0.62,0,0.82,2.89,0.53
( 2023/02/09 17:12:24.619) #right_data: ,0.46,0.67,0.15,0.62,0,0.82,2.89,0.53
( 2023/02/09 17:12:24.683) #right_data: ,0.49,0.66,0.89,1.01,0,1.21,2.85,0.63
( 2023/02/09 17:12:24.752) #right_data: ,0.59,0.88,0.96,1.02,0,1.12,2.7,0.27
( 2023/02/09 17:12:24.823) #right_data: ,0.77,1.12,0.97,0.93,0,0.81,2.03,1.07
( 2023/02/09 17:12:24.897) #right_data: ,0.75,1.12,0.94,0.88,0,0.74,1.85,1.04
( 2023/02/09 17:12:24.967) #right_data: ,0.62,0.65,0.51,0.59,0,0.42,0.92,0.4
( 2023/02/09 17:12:25.028) #right_data: ,0.66,0.58,0.48,0.59,0,0.3,0.25,0.04
( 2023/02/09 17:12:25.096) #right_data: ,0.66,0.58,0.48,0.59,0,0.3,0.25,0.04
( 2023/02/09 17:12:25.166) #right_data: ,0.3,0,0,0,0,0,0.02,0
( 2023/02/09 17:12:25.238) #right_data: ,0.27,0,0,0,0,0,0.01,0
( 2023/02/09 17:12:25.309) #right_data: ,0.25,0,0,0,0,0,0,0
( 2023/02/09 17:12:25.374) #right_data: ,0.25,0,0,0,0,0,0,0
( 2023/02/09 17:12:25.441) #right_data: ,0.27,0,0,0,0,0,0,0
( 2023/02/09 17:12:25.514) #right_data: ,0.27,0,0,0,0,0,0,0
( 2023/02/09 17:12:25.581) #right_data: ,0.14,0,0,0,0,0,0.97,1
( 2023/02/09 17:12:25.653) #right_data: ,0.74,0,0,0.05,0,0.18,1.74,0.78
( 2023/02/09 17:12:25.720) #right_data: ,0.74,0,0,0.05,0,0.18,1.74,0.78
( 2023/02/09 17:12:25.780) #right_data: ,1.57,0.23,0.37,0.58,0.01,1.02,5.99,3.91
( 2023/02/09 17:12:25.848) #right_data: ,1.59,0.3,0.43,0.63,0.01,1.05,5.66,3.7
( 2023/02/09 17:12:25.921) #right_data: ,1.59,0.3,0.43,0.63,0.01,1.05,5.66,3.7
( 2023/02/09 17:12:25.991) #right_data: ,0.73,0.61,0.66,0.9,0.01,1.18,4.59,2.95
( 2023/02/09 17:12:26.054) #right_data: ,0.73,0.61,0.66,0.9,0.01,1.18,4.59,2.95
( 2023/02/09 17:12:26.114) #right_data: ,1.02,0.72,0.74,1,0.02,0.04,4.21,2.7
( 2023/02/09 17:12:26.185) #right_data: ,3.91,1.85,0.63,0.65,0.05,0.96,0.34,0.92
( 2023/02/09 17:12:26.258) #right_data: ,5.6,4.21,1.92,0.76,0,0.75,0,0
( 2023/02/09 17:12:26.331) #right_data: ,6.06,0.57,0.86,0.38,0,0,0,0
( 2023/02/09 17:12:26.396) #right_data: ,4.75,0.23,0.08,0,0,0,0,0
( 2023/02/09 17:12:26.457) #right_data: ,0.38,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.524) #right_data: ,0.36,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.595) #right_data: ,0.42,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.670) #right_data: ,0.49,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.733) #right_data: ,0.51,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.791) #right_data: ,0.37,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.860) #right_data: ,0.25,0,0,0,0,0,0,0
( 2023/02/09 17:12:26.921) #right_data: ,0.17,0,0,0,0,0,1.01,1.05
( 2023/02/09 17:12:26.989) #right_data: ,0.23,0,0,0,0,0,1.76,1.99
( 2023/02/09 17:12:27.053) #right_data: ,1.65,0,0,0.32,0,0.61,5.79,4.69
( 2023/02/09 17:12:27.110) #right_data: ,2.79,0,0,0.5,0,0.88,6.27,5.01
( 2023/02/09 17:12:27.175) #right_data: ,3.05,0,0,0.47,0,0.81,5.92,4.69
( 2023/02/09 17:12:27.236) #right_data: ,3.05,0,0,0.47,0,0.81,5.92,4.69
( 2023/02/09 17:12:27.306) #right_data: ,3.05,0,0,0.47,0,0.81,5.92,4.69
( 2023/02/09 17:12:27.368) #right_data: ,3.05,0,0,0.47,0,0.81,5.92,4.69
( 2023/02/09 17:12:27.429) #right_data: ,3.01,0.07,0.06,0.5,0,0.8,5.42,4.21
( 2023/02/09 17:12:27.487) #right_data: ,5.66,2.79,0.73,0.05,0,0.99,0.21,0.08
( 2023/02/09 17:12:27.554) #right_data: ,5.66,2.79,0.73,0.05,0,0.99,0.21,0.08
( 2023/02/09 17:12:27.624) #right_data: ,5.86,2.67,1.23,0.92,0,0.01,0,0
( 2023/02/09 17:12:27.693) #right_data: ,5.86,2.67,1.23,0.92,0,0.01,0,0
( 2023/02/09 17:12:27.755) #right_data: ,0.52,0,0,0,0,0,0,0
( 2023/02/09 17:12:27.814) #right_data: ,0.57,0,0,0,0,0,0,0
( 2023/02/09 17:12:27.871) #right_data: ,0.76,0,0,0,0,0,0,0
( 2023/02/09 17:12:27.937) #right_data: ,0.83,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.004) #right_data: ,0.78,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.070) #right_data: ,0.79,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.128) #right_data: ,0.44,0,0,0,0,0,0.55,1.2
( 2023/02/09 17:12:28.193) #right_data: ,0.69,0,0.01,0,0,0.11,5.99,5.01
( 2023/02/09 17:12:28.265) #right_data: ,1.18,0,0,0.16,0,0.68,6.49,5.24
( 2023/02/09 17:12:28.338) #right_data: ,1.83,0,0,0.91,0,1.12,5.86,4.8
