( 2023/02/09 19:19:36.468) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:19:44.479) #left_data: ,1.05,1.07,1.04,0.88,0.0,1.24,3.01,1.53
( 2023/02/09 19:19:44.538) #left_data: ,1.06,1.07,1.01,0.88,0.0,1.25,3.05,1.53
( 2023/02/09 19:19:44.600) #left_data: ,1.05,1.07,1.02,0.9,0.0,1.25,3.05,1.57
( 2023/02/09 19:19:44.674) #left_data: ,1.04,1.01,0.99,0.87,0.0,1.25,3.01,1.59
( 2023/02/09 19:19:44.745) #left_data: ,1.03,0.88,0.98,0.85,0.0,1.24,3.15,1.67
( 2023/02/09 19:19:44.817) #left_data: ,0.91,0.58,0.76,0.81,0.0,1.24,3.4,1.92
( 2023/02/09 19:19:44.883) #left_data: ,0.91,0.58,0.76,0.81,0.0,1.24,3.4,1.92
( 2023/02/09 19:19:44.948) #left_data: ,0.89,0.54,0.76,0.78,0.0,1.23,3.4,1.96
( 2023/02/09 19:19:45.014) #left_data: ,0.86,0.51,0.66,0.76,0.0,1.23,3.47,2.03
( 2023/02/09 19:19:45.087) #left_data: ,0.84,0.42,0.62,0.72,0.0,1.23,3.47,2.16
( 2023/02/09 19:19:45.161) #left_data: ,0.8,0.2,0.53,0.66,0.0,1.22,3.66,2.31
( 2023/02/09 19:19:45.230) #left_data: ,0.8,0.2,0.53,0.66,0.0,1.22,3.66,2.31
( 2023/02/09 19:19:45.296) #left_data: ,0.67,1.13,1.26,0.22,0.0,1.14,3.78,2.5
( 2023/02/09 19:19:45.367) #left_data: ,0.6,0.98,1.12,1.2,0.0,1.06,3.86,2.5
( 2023/02/09 19:19:45.440) #left_data: ,0.6,0.98,1.12,1.2,0.0,1.06,3.86,2.5
( 2023/02/09 19:19:45.513) #left_data: ,0.73,1.09,1.04,1.07,0.0,0.94,3.86,2.56
( 2023/02/09 19:19:45.575) #left_data: ,0.73,1.09,1.04,1.07,0.0,0.94,3.86,2.56
( 2023/02/09 19:19:45.643) #left_data: ,0.36,1.53,0.42,0.12,0.0,1.23,4.75,3.51
( 2023/02/09 19:19:45.712) #left_data: ,1.11,2.5,0.84,0.25,0.0,1.26,4.85,3.62
( 2023/02/09 19:19:45.786) #left_data: ,1.11,2.5,0.84,0.25,0.0,1.26,4.85,3.62
( 2023/02/09 19:19:45.855) #left_data: ,1.65,2.92,1.12,0.22,0.0,1.22,4.3,2.79
( 2023/02/09 19:19:45.916) #left_data: ,1.8,3.01,1.16,0.18,0.0,1.24,4.03,2.42
( 2023/02/09 19:19:45.985) #left_data: ,1.96,3.05,1.32,0.15,0.0,1.26,3.86,2.06
( 2023/02/09 19:19:46.058) #left_data: ,1.83,2.85,1.39,0.29,0.0,0.07,3.78,1.94
( 2023/02/09 19:19:46.131) #left_data: ,1.89,2.82,1.61,0.5,0.0,0.35,3.58,1.59
( 2023/02/09 19:19:46.202) #left_data: ,2.79,3.22,1.96,0.69,0.01,0.61,2.92,0.68
( 2023/02/09 19:19:46.265) #left_data: ,4.12,4.4,3.05,1.36,0.0,0.78,0.19,0.53
( 2023/02/09 19:19:46.331) #left_data: ,5.18,5.42,4.35,1.67,0.0,0.9,0.03,0.0
( 2023/02/09 19:19:46.403) #left_data: ,4.69,2.01,2.44,1.02,0.0,0.02,0.0,0.0
( 2023/02/09 19:19:46.474) #left_data: ,0.36,0.0,0.12,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.541) #left_data: ,0.12,0.0,0.1,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.603) #left_data: ,0.08,0.0,0.1,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.665) #left_data: ,0.04,0.0,0.1,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.737) #left_data: ,0.04,0.0,0.1,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.809) #left_data: ,0.05,0.0,0.09,0.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.877) #left_data: ,0.05,0.0,0.09,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:46.939) #left_data: ,0.05,0.0,0.09,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.004) #left_data: ,0.0,0.0,0.07,0.25,0.0,0.25,1.09,0.69
( 2023/02/09 19:19:47.075) #left_data: ,1.1,1.01,1.26,0.92,0.0,0.7,2.79,0.81
( 2023/02/09 19:19:47.148) #left_data: ,1.1,1.01,1.26,0.92,0.0,0.7,2.79,0.81
( 2023/02/09 19:19:47.219) #left_data: ,2.28,3.43,1.01,1.15,0.0,0.85,4.45,2.76
( 2023/02/09 19:19:47.282) #left_data: ,2.06,3.11,0.47,0.94,0.0,0.73,4.8,3.22
( 2023/02/09 19:19:47.343) #left_data: ,0.54,2.26,1.07,0.58,0.0,0.56,4.69,3.43
( 2023/02/09 19:19:47.409) #left_data: ,1.12,1.41,0.84,0.37,0.0,0.47,4.64,3.47
( 2023/02/09 19:19:47.480) #left_data: ,0.78,0.85,0.75,0.37,0.0,0.5,5.01,3.91
( 2023/02/09 19:19:47.549) #left_data: ,0.69,0.9,0.76,0.4,0.0,0.53,5.48,4.35
( 2023/02/09 19:19:47.609) #left_data: ,0.86,0.91,0.78,0.48,0.0,0.69,5.86,4.8
( 2023/02/09 19:19:47.675) #left_data: ,0.86,0.91,0.78,0.48,0.0,0.69,5.86,4.8
( 2023/02/09 19:19:47.749) #left_data: ,4.4,5.24,4.03,1.21,0.0,0.54,0.04,0.0
( 2023/02/09 19:19:47.823) #left_data: ,2.61,0.63,1.08,0.4,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.890) #left_data: ,0.32,0.0,0.11,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.952) #left_data: ,0.07,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.012) #left_data: ,0.07,0.0,0.1,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.074) #left_data: ,0.05,0.0,0.1,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.145) #left_data: ,0.05,0.0,0.07,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.217) #left_data: ,0.06,0.0,0.07,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.283) #left_data: ,0.1,0.0,0.1,0.28,0.0,0.4,0.55,1.04
( 2023/02/09 19:19:48.347) #left_data: ,0.1,0.0,0.1,0.28,0.0,0.4,0.55,1.04
( 2023/02/09 19:19:48.415) #left_data: ,0.38,0.5,0.89,1.08,0.0,1.11,4.08,3.11
( 2023/02/09 19:19:48.490) #left_data: ,0.74,0.32,0.91,0.85,0.0,0.84,4.69,3.62
( 2023/02/09 19:19:48.559) #left_data: ,1.07,1.43,1.67,1.51,0.0,1.3,4.21,3.15
( 2023/02/09 19:19:48.623) #left_data: ,0.45,1.43,1.99,1.63,0.0,0.9,0.65,0.94
( 2023/02/09 19:19:48.684) #left_data: ,0.45,1.43,1.99,1.63,0.0,0.9,0.65,0.94
( 2023/02/09 19:19:48.747) #left_data: ,0.42,1.02,1.85,1.59,0.0,0.75,0.28,0.88
( 2023/02/09 19:19:48.812) #left_data: ,0.96,1.09,1.26,1.57,0.0,1.23,3.18,1.96
( 2023/02/09 19:19:48.878) #left_data: ,0.96,1.09,1.26,1.57,0.0,1.23,3.18,1.96
( 2023/02/09 19:19:48.950) #left_data: ,0.69,0.66,1.25,0.93,0.0,0.85,4.4,3.36
( 2023/02/09 19:19:49.011) #left_data: ,2.79,2.61,3.4,2.61,0.0,1.78,1.26,0.62
( 2023/02/09 19:19:49.075) #left_data: ,2.79,2.61,3.4,2.61,0.0,1.78,1.26,0.62
( 2023/02/09 19:19:49.145) #left_data: ,3.66,1.96,3.95,1.87,0.0,0.53,0.0,0.0
( 2023/02/09 19:19:49.217) #left_data: ,0.25,0.0,0.12,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.288) #left_data: ,0.25,0.0,0.12,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.349) #left_data: ,0.07,0.0,0.1,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.411) #left_data: ,0.06,0.0,0.09,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.481) #left_data: ,0.05,0.0,0.08,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.554) #left_data: ,0.06,0.0,0.08,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.621) #left_data: ,0.07,0.0,0.09,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.679) #left_data: ,0.07,0.0,0.09,0.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.742) #left_data: ,0.07,0.0,0.14,0.13,0.0,0.28,1.61,0.22
( 2023/02/09 19:19:49.808) #left_data: ,0.45,0.7,0.86,0.77,0.0,0.78,3.95,2.58
( 2023/02/09 19:19:49.867) #left_data: ,0.59,1.12,0.09,1.26,0.0,0.21,5.12,4.03
( 2023/02/09 19:19:49.925) #left_data: ,0.52,1.04,0.66,0.81,0.0,1.14,5.01,4.17
( 2023/02/09 19:19:49.983) #left_data: ,0.49,1.05,0.85,1.09,0.0,1.39,4.26,3.47
( 2023/02/09 19:19:50.040) #left_data: ,0.41,0.65,0.65,1.19,0.0,1.57,3.29,2.42
( 2023/02/09 19:19:50.098) #left_data: ,0.41,0.65,0.65,1.19,0.0,1.57,3.29,2.42
( 2023/02/09 19:19:50.155) #left_data: ,0.27,0.33,1.25,1.18,0.0,1.69,2.85,2.23
( 2023/02/09 19:19:50.212) #left_data: ,0.28,0.37,0.12,1.32,0.0,1.89,3.22,2.58
( 2023/02/09 19:19:50.271) #left_data: ,0.31,0.35,0.15,1.32,0.0,1.99,3.62,3.08
( 2023/02/09 19:19:50.331) #left_data: ,0.39,0.36,0.06,1.16,0.0,1.99,3.86,3.25
( 2023/02/09 19:19:50.391) #left_data: ,0.97,0.98,1.21,1.39,0.0,2.01,3.62,2.79
( 2023/02/09 19:19:50.460) #left_data: ,0.97,0.98,1.21,1.39,0.0,2.01,3.62,2.79
