( 2023/02/09 19:19:36.475) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:19:44.484) #right_data: ,0.66,1.03,0.86,0.77,0.0,0.69,0.99,0.72
( 2023/02/09 19:19:44.542) #right_data: ,0.66,1.03,0.86,0.76,0.0,0.69,0.99,0.71
( 2023/02/09 19:19:44.613) #right_data: ,0.65,1.02,0.85,0.74,0.0,0.67,1.0,0.72
( 2023/02/09 19:19:44.683) #right_data: ,0.63,0.97,0.82,0.73,0.0,0.67,1.01,0.74
( 2023/02/09 19:19:44.756) #right_data: ,0.63,0.93,0.8,0.72,0.0,0.67,1.03,0.76
( 2023/02/09 19:19:44.826) #right_data: ,0.56,0.82,0.75,0.67,0.0,0.66,1.1,0.8
( 2023/02/09 19:19:44.890) #right_data: ,0.56,0.82,0.75,0.67,0.0,0.66,1.1,0.81
( 2023/02/09 19:19:44.953) #right_data: ,0.56,0.84,0.76,0.68,0.0,0.66,1.11,0.8
( 2023/02/09 19:19:45.025) #right_data: ,0.56,0.84,0.76,0.68,0.0,0.67,1.1,0.8
( 2023/02/09 19:19:45.098) #right_data: ,0.56,0.84,0.76,0.68,0.0,0.67,1.11,0.8
( 2023/02/09 19:19:45.170) #right_data: ,0.52,0.76,0.73,0.66,0.0,0.65,1.16,0.84
( 2023/02/09 19:19:45.236) #right_data: ,0.48,0.71,0.69,0.63,0.0,0.66,1.26,0.9
( 2023/02/09 19:19:45.304) #right_data: ,0.45,0.66,0.69,0.68,0.0,0.71,0.85,1.13
( 2023/02/09 19:19:45.378) #right_data: ,0.47,0.66,0.7,0.69,0.0,0.73,1.02,1.19
( 2023/02/09 19:19:45.453) #right_data: ,0.47,0.72,0.72,0.71,0.0,0.74,1.04,1.18
( 2023/02/09 19:19:45.518) #right_data: ,0.47,0.73,0.68,0.64,0.0,0.69,1.01,1.15
( 2023/02/09 19:19:45.585) #right_data: ,0.39,0.45,0.53,0.48,0.0,0.62,1.02,1.13
( 2023/02/09 19:19:45.652) #right_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.02
( 2023/02/09 19:19:45.722) #right_data: ,0.1,0.0,0.0,0.0,0.0,0.0,0.13,0.05
( 2023/02/09 19:19:45.796) #right_data: ,0.11,0.0,0.0,0.0,0.0,0.0,0.16,0.07
( 2023/02/09 19:19:45.860) #right_data: ,0.23,0.0,0.0,0.0,0.0,0.0,0.21,0.09
( 2023/02/09 19:19:45.925) #right_data: ,0.26,0.0,0.0,0.0,0.0,0.01,0.21,0.09
( 2023/02/09 19:19:45.994) #right_data: ,0.34,0.0,0.0,0.01,0.0,0.0,0.18,0.08
( 2023/02/09 19:19:46.068) #right_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.11,0.04
( 2023/02/09 19:19:46.143) #right_data: ,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.02
( 2023/02/09 19:19:46.207) #right_data: ,0.1,0.0,0.0,0.01,0.0,0.0,0.02,0.01
( 2023/02/09 19:19:46.272) #right_data: ,0.15,0.0,0.05,0.0,0.0,0.07,0.05,0.02
( 2023/02/09 19:19:46.340) #right_data: ,1.18,0.85,0.36,0.13,0.0,0.3,1.83,1.13
( 2023/02/09 19:19:46.413) #right_data: ,1.63,0.51,0.72,0.46,0.0,0.56,3.32,0.98
( 2023/02/09 19:19:46.483) #right_data: ,3.74,2.89,0.82,1.21,0.0,1.17,3.74,1.61
( 2023/02/09 19:19:46.546) #right_data: ,3.74,2.89,0.82,1.21,0.0,1.17,3.74,1.61
( 2023/02/09 19:19:46.607) #right_data: ,3.95,2.98,0.96,0.13,0.0,1.26,2.31,0.3
( 2023/02/09 19:19:46.673) #right_data: ,3.7,2.13,0.94,0.29,0.0,0.29,0.1,0.86
( 2023/02/09 19:19:46.747) #right_data: ,3.7,2.13,0.94,0.29,0.0,0.29,0.1,0.86
( 2023/02/09 19:19:46.820) #right_data: ,4.17,1.63,1.04,0.81,0.0,0.78,0.83,0.52
( 2023/02/09 19:19:46.882) #right_data: ,4.35,1.92,1.09,0.78,0.0,0.85,1.05,0.72
( 2023/02/09 19:19:46.946) #right_data: ,5.36,3.51,1.76,0.96,0.0,0.94,0.95,0.53
( 2023/02/09 19:19:47.012) #right_data: ,6.42,4.96,2.53,0.96,0.0,0.95,0.06,0.0
( 2023/02/09 19:19:47.086) #right_data: ,6.42,4.69,2.42,1.23,0.0,0.38,0.0,0.0
( 2023/02/09 19:19:47.160) #right_data: ,4.03,0.17,0.28,0.12,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.225) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.288) #right_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.348) #right_data: ,0.52,0.0,0.0,0.0,0.0,0.0,0.02,0.0
( 2023/02/09 19:19:47.419) #right_data: ,0.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0
( 2023/02/09 19:19:47.491) #right_data: ,0.65,0.0,0.0,0.0,0.0,0.0,0.01,0.0
( 2023/02/09 19:19:47.553) #right_data: ,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:47.615) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.13,0.05
( 2023/02/09 19:19:47.687) #right_data: ,0.15,0.0,0.0,0.0,0.0,0.1,0.54,0.3
( 2023/02/09 19:19:47.761) #right_data: ,0.58,0.72,0.66,0.73,0.0,0.85,2.95,0.66
( 2023/02/09 19:19:47.834) #right_data: ,1.92,0.0,0.98,1.0,0.0,1.0,4.08,1.67
( 2023/02/09 19:19:47.896) #right_data: ,3.05,1.39,1.13,0.99,0.0,0.99,4.9,2.44
( 2023/02/09 19:19:47.957) #right_data: ,3.62,2.28,1.22,0.98,0.0,0.95,4.69,2.16
( 2023/02/09 19:19:48.015) #right_data: ,3.62,2.39,1.22,0.97,0.0,0.91,4.03,1.83
( 2023/02/09 19:19:48.082) #right_data: ,3.58,2.34,1.22,0.97,0.0,0.9,3.32,1.34
( 2023/02/09 19:19:48.154) #right_data: ,3.32,2.03,1.27,1.02,0.0,0.97,1.67,1.24
( 2023/02/09 19:19:48.226) #right_data: ,3.32,2.18,0.21,1.09,0.0,1.08,1.72,0.03
( 2023/02/09 19:19:48.288) #right_data: ,5.18,4.9,2.34,0.94,0.0,0.11,0.88,0.41
( 2023/02/09 19:19:48.354) #right_data: ,5.6,5.6,2.7,0.99,0.0,0.86,0.16,0.01
( 2023/02/09 19:19:48.426) #right_data: ,4.35,1.15,1.03,0.36,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.499) #right_data: ,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.567) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.628) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.04,0.01
( 2023/02/09 19:19:48.688) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.03,0.01
( 2023/02/09 19:19:48.755) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.03,0.0
( 2023/02/09 19:19:48.818) #right_data: ,0.54,0.0,0.0,0.0,0.0,0.0,0.03,0.0
( 2023/02/09 19:19:48.891) #right_data: ,0.66,0.0,0.0,0.0,0.0,0.0,0.02,0.0
( 2023/02/09 19:19:48.955) #right_data: ,0.68,0.0,0.0,0.0,0.0,0.0,0.01,0.0
( 2023/02/09 19:19:49.016) #right_data: ,0.42,0.0,0.0,0.0,0.0,0.02,0.22,0.11
( 2023/02/09 19:19:49.083) #right_data: ,1.09,0.21,0.16,0.18,0.0,0.55,3.29,1.18
( 2023/02/09 19:19:49.153) #right_data: ,0.16,0.27,0.33,0.38,0.0,0.83,4.96,2.76
( 2023/02/09 19:19:49.226) #right_data: ,0.23,0.27,0.4,0.6,0.0,1.12,6.2,3.95
( 2023/02/09 19:19:49.294) #right_data: ,0.22,0.52,0.55,0.66,0.0,1.15,6.27,4.21
( 2023/02/09 19:19:49.353) #right_data: ,0.15,0.56,0.55,0.65,0.0,1.13,5.99,4.08
( 2023/02/09 19:19:49.419) #right_data: ,0.34,0.55,0.61,0.74,0.0,1.2,4.96,3.11
( 2023/02/09 19:19:49.491) #right_data: ,0.49,0.57,0.76,0.91,0.0,0.09,4.03,2.11
( 2023/02/09 19:19:49.563) #right_data: ,0.94,0.64,1.02,0.16,0.0,0.66,3.4,1.69
( 2023/02/09 19:19:49.624) #right_data: ,1.94,1.15,0.34,1.01,0.0,1.09,3.08,1.26
( 2023/02/09 19:19:49.684) #right_data: ,2.85,1.12,1.16,1.43,0.0,1.23,2.03,0.19
( 2023/02/09 19:19:49.749) #right_data: ,5.24,4.59,2.95,1.78,0.0,0.71,0.0,0.0
( 2023/02/09 19:19:49.812) #right_data: ,5.12,2.53,1.92,1.19,0.0,0.12,0.0,0.0
( 2023/02/09 19:19:49.871) #right_data: ,3.4,0.23,0.45,0.25,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.928) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.986) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.043) #right_data: ,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.101) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.158) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.217) #right_data: ,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.276) #right_data: ,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.334) #right_data: ,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.400) #right_data: ,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.471) #right_data: ,0.34,0.0,0.0,0.0,0.0,0.08,0.2,0.16
( 2023/02/09 19:19:50.542) #right_data: ,0.84,0.01,0.02,0.0,0.0,0.27,1.76,0.22
( 2023/02/09 19:19:50.604) #right_data: ,1.23,0.1,0.05,0.03,0.0,0.4,4.49,2.42
( 2023/02/09 19:19:50.663) #right_data: ,1.89,0.63,0.26,0.21,0.0,0.7,6.65,4.4
( 2023/02/09 19:19:50.727) #right_data: ,2.13,0.85,0.35,0.3,0.0,0.74,6.72,4.59
( 2023/02/09 19:19:50.797) #right_data: ,2.34,1.11,0.53,0.49,0.0,0.84,5.92,4.21
( 2023/02/09 19:19:50.867) #right_data: ,2.42,0.17,0.71,0.61,0.0,0.91,4.21,2.67
( 2023/02/09 19:19:50.927) #right_data: ,2.5,0.5,0.82,0.68,0.0,0.92,3.43,1.94
( 2023/02/09 19:19:50.993) #right_data: ,2.76,1.04,0.97,0.78,0.0,0.95,3.01,1.43
( 2023/02/09 19:19:51.059) #right_data: ,3.05,1.41,1.04,0.79,0.0,0.98,3.15,1.49
( 2023/02/09 19:19:51.130) #right_data: ,4.69,4.12,1.26,0.12,0.0,1.15,0.13,0.69
( 2023/02/09 19:19:51.203) #right_data: ,5.18,4.9,1.96,0.44,0.0,0.83,0.17,0.03
( 2023/02/09 19:19:51.265) #right_data: ,1.27,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.325) #right_data: ,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.389) #right_data: ,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.458) #right_data: ,0.46,0.0,0.0,0.0,0.0,0.0,0.06,0.03
