( 2023/02/09 19:29:05.637) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:29:13.381) #left_data: ,0.46,1.14,1.1,0.96,0.0,0.71,3.36,2.01
( 2023/02/09 19:29:13.442) #left_data: ,0.46,1.15,1.1,0.97,0.0,0.72,3.4,2.01
( 2023/02/09 19:29:13.500) #left_data: ,0.46,1.15,1.1,0.97,0.0,0.72,3.4,2.01
( 2023/02/09 19:29:13.568) #left_data: ,0.47,1.16,1.12,0.97,0.0,0.73,3.36,2.01
( 2023/02/09 19:29:13.634) #left_data: ,0.47,1.18,1.13,0.98,0.0,0.75,3.4,2.03
( 2023/02/09 19:29:13.704) #left_data: ,0.48,1.19,1.15,1.0,0.0,0.76,3.4,2.01
( 2023/02/09 19:29:13.775) #left_data: ,0.5,1.2,1.16,1.0,0.0,0.77,3.43,2.06
( 2023/02/09 19:29:13.837) #left_data: ,0.5,1.2,1.16,1.0,0.0,0.77,3.43,2.06
( 2023/02/09 19:29:13.898) #left_data: ,0.5,1.21,1.18,1.01,0.0,0.77,3.32,2.01
( 2023/02/09 19:29:13.964) #left_data: ,0.46,1.19,1.19,1.1,0.0,0.89,3.95,3.05
( 2023/02/09 19:29:14.036) #left_data: ,0.45,1.15,1.15,1.1,0.0,0.91,4.21,3.4
( 2023/02/09 19:29:14.103) #left_data: ,0.42,1.0,1.04,1.03,0.0,0.83,4.49,3.62
( 2023/02/09 19:29:14.164) #left_data: ,0.42,0.94,0.88,0.81,0.0,0.59,4.64,3.78
( 2023/02/09 19:29:14.227) #left_data: ,0.42,0.94,0.88,0.81,0.0,0.59,4.64,3.78
( 2023/02/09 19:29:14.299) #left_data: ,0.42,0.94,0.88,0.81,0.0,0.59,4.64,3.78
( 2023/02/09 19:29:14.372) #left_data: ,0.89,0.55,0.99,0.93,0.0,0.16,0.0,0.0
( 2023/02/09 19:29:14.436) #left_data: ,0.89,0.55,0.99,0.93,0.0,0.16,0.0,0.0
( 2023/02/09 19:29:14.500) #left_data: ,0.06,0.0,0.08,0.09,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.564) #left_data: ,0.06,0.0,0.08,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.637) #left_data: ,0.06,0.0,0.08,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.703) #left_data: ,0.06,0.02,0.09,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.772) #left_data: ,0.06,0.07,0.11,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.834) #left_data: ,0.06,0.07,0.11,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.898) #left_data: ,0.09,0.07,0.13,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:14.967) #left_data: ,1.13,0.4,1.18,1.06,0.0,0.33,0.0,0.0
( 2023/02/09 19:29:15.040) #left_data: ,1.39,2.98,3.01,1.78,0.02,1.76,1.74,0.99
( 2023/02/09 19:29:15.109) #left_data: ,1.39,2.98,3.01,1.78,0.02,1.76,1.74,0.99
( 2023/02/09 19:29:15.170) #left_data: ,0.76,1.55,2.06,1.85,0.01,1.25,4.69,2.67
( 2023/02/09 19:29:15.234) #left_data: ,0.57,1.57,1.53,1.32,0.0,0.61,4.49,2.61
( 2023/02/09 19:29:15.307) #left_data: ,0.51,1.28,1.11,0.99,0.0,0.42,4.45,2.64
( 2023/02/09 19:29:15.379) #left_data: ,0.82,1.51,1.41,1.23,0.0,0.58,3.55,1.78
( 2023/02/09 19:29:15.463) #left_data: ,1.32,1.59,1.94,1.8,0.0,1.16,2.95,0.62
( 2023/02/09 19:29:15.524) #left_data: ,1.02,0.18,1.65,2.03,0.01,1.67,3.78,1.89
( 2023/02/09 19:29:15.590) #left_data: ,1.47,0.28,1.43,2.16,0.01,1.63,4.3,2.36
( 2023/02/09 19:29:15.661) #left_data: ,1.99,0.4,1.01,1.83,0.01,1.07,4.35,1.61
( 2023/02/09 19:29:15.735) #left_data: ,2.39,0.99,1.59,2.13,0.01,1.16,3.18,0.83
( 2023/02/09 19:29:15.803) #left_data: ,3.25,2.11,2.67,2.64,0.0,0.19,0.55,0.0
( 2023/02/09 19:29:15.865) #left_data: ,0.53,0.42,0.56,0.43,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.926) #left_data: ,0.53,0.42,0.56,0.43,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.995) #left_data: ,0.23,0.0,0.03,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.068) #left_data: ,0.23,0.0,0.01,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.137) #left_data: ,0.23,0.0,0.01,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.198) #left_data: ,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.260) #left_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.330) #left_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.400) #left_data: ,2.64,1.19,1.57,0.22,0.0,0.19,0.0,0.0
( 2023/02/09 19:29:16.467) #left_data: ,4.3,4.85,5.18,3.62,0.0,2.03,0.0,0.0
( 2023/02/09 19:29:16.529) #left_data: ,4.4,4.64,4.69,3.4,0.06,2.44,0.61,0.09
( 2023/02/09 19:29:16.592) #left_data: ,3.78,3.78,4.21,3.22,0.03,2.23,0.44,0.03
( 2023/02/09 19:29:16.662) #left_data: ,3.22,2.53,3.91,3.18,0.0,1.76,0.0,0.0
( 2023/02/09 19:29:16.733) #left_data: ,2.79,1.8,3.74,3.36,0.0,1.83,0.0,0.0
( 2023/02/09 19:29:16.800) #left_data: ,3.32,1.87,3.47,3.29,0.0,1.49,0.0,0.0
( 2023/02/09 19:29:16.860) #left_data: ,3.82,2.26,3.47,3.01,0.0,1.18,0.08,0.0
( 2023/02/09 19:29:16.921) #left_data: ,4.12,3.01,3.62,3.15,0.0,1.36,0.38,0.0
( 2023/02/09 19:29:16.986) #left_data: ,4.21,2.92,3.58,3.25,0.0,1.37,0.41,0.0
( 2023/02/09 19:29:17.059) #left_data: ,4.21,2.92,3.58,3.25,0.0,1.37,0.41,0.0
( 2023/02/09 19:29:17.132) #left_data: ,4.21,0.49,1.09,1.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.195) #left_data: ,1.21,0.14,0.43,0.48,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.258) #left_data: ,0.27,0.0,0.01,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.326) #left_data: ,0.2,0.0,0.04,0.06,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.396) #left_data: ,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.464) #left_data: ,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.531) #left_data: ,0.54,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.595) #left_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.664) #left_data: ,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.735) #left_data: ,5.86,2.7,3.05,1.92,0.0,0.97,0.0,0.0
( 2023/02/09 19:29:17.804) #left_data: ,6.13,4.17,3.78,3.11,0.09,2.08,1.14,0.6
( 2023/02/09 19:29:17.869) #left_data: ,5.99,4.17,3.82,2.98,0.06,1.41,0.68,0.31
( 2023/02/09 19:29:17.932) #left_data: ,4.85,3.18,2.89,2.61,0.02,1.01,0.75,0.49
( 2023/02/09 19:29:17.995) #left_data: ,4.59,2.7,2.26,2.31,0.01,0.34,0.12,0.33
( 2023/02/09 19:29:18.066) #left_data: ,4.59,2.7,2.26,2.31,0.01,0.34,0.12,0.33
( 2023/02/09 19:29:18.136) #left_data: ,5.36,3.05,2.56,1.74,0.0,0.89,0.39,0.0
( 2023/02/09 19:29:18.203) #left_data: ,5.92,3.47,3.01,2.28,0.0,1.16,0.61,0.0
( 2023/02/09 19:29:18.265) #left_data: ,5.92,3.47,3.01,2.28,0.0,1.16,0.61,0.0
( 2023/02/09 19:29:18.327) #left_data: ,6.27,2.76,3.18,2.79,0.0,0.77,0.0,0.0
( 2023/02/09 19:29:18.393) #left_data: ,6.27,0.63,0.05,0.2,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.454) #left_data: ,3.62,0.33,0.22,0.15,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.514) #left_data: ,0.21,0.0,0.01,0.1,0.0,0.0,0.01,0.0
( 2023/02/09 19:29:18.574) #left_data: ,0.1,0.0,0.04,0.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.635) #left_data: ,0.22,0.0,0.04,0.09,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.708) #left_data: ,0.44,0.0,0.0,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.777) #left_data: ,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.838) #left_data: ,0.44,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.898) #left_data: ,0.44,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.959) #left_data: ,0.37,0.02,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.026) #left_data: ,0.37,0.02,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.099) #left_data: ,3.05,0.79,2.44,1.01,0.0,0.15,0.0,0.0
( 2023/02/09 19:29:19.166) #left_data: ,3.05,0.79,2.44,1.01,0.0,0.15,0.0,0.0
( 2023/02/09 19:29:19.226) #left_data: ,3.86,2.23,3.51,3.29,0.04,2.5,0.47,0.02
( 2023/02/09 19:29:19.286) #left_data: ,3.86,2.23,3.51,3.29,0.04,2.5,0.47,0.02
( 2023/02/09 19:29:19.349) #left_data: ,4.3,1.74,3.51,3.36,0.0,1.63,0.0,0.0
( 2023/02/09 19:29:19.418) #left_data: ,5.12,1.67,2.92,2.76,0.0,0.2,0.02,0.0
( 2023/02/09 19:29:19.486) #left_data: ,5.36,1.26,2.21,2.44,0.0,0.66,0.18,0.0
( 2023/02/09 19:29:19.545) #left_data: ,5.86,1.49,2.42,2.92,0.0,0.3,0.22,0.0
