( 2023/02/09 19:29:05.645) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:29:13.387) #right_data: ,0.55,1.03,0.95,1.04,0.0,1.08,3.05,1.89
( 2023/02/09 19:29:13.445) #right_data: ,0.55,1.01,0.94,1.05,0.0,1.08,3.05,1.89
( 2023/02/09 19:29:13.507) #right_data: ,0.55,1.03,0.94,1.04,0.0,1.08,2.98,1.8
( 2023/02/09 19:29:13.575) #right_data: ,0.55,1.03,0.95,1.05,0.0,1.08,2.95,1.83
( 2023/02/09 19:29:13.643) #right_data: ,0.57,1.06,0.97,1.05,0.0,1.08,2.82,1.63
( 2023/02/09 19:29:13.715) #right_data: ,0.58,1.08,0.98,1.07,0.0,1.08,2.73,1.57
( 2023/02/09 19:29:13.782) #right_data: ,0.59,1.09,0.99,1.07,0.0,1.09,2.76,1.55
( 2023/02/09 19:29:13.841) #right_data: ,0.59,1.09,0.98,1.07,0.0,1.09,2.67,1.53
( 2023/02/09 19:29:13.904) #right_data: ,0.57,1.04,0.95,1.03,0.0,1.05,2.53,1.26
( 2023/02/09 19:29:13.974) #right_data: ,0.36,0.69,0.71,0.77,0.0,0.84,2.34,1.19
( 2023/02/09 19:29:14.045) #right_data: ,0.31,0.56,0.54,0.58,0.0,0.68,2.47,1.25
( 2023/02/09 19:29:14.109) #right_data: ,0.29,0.52,0.48,0.53,0.0,0.63,2.56,1.3
( 2023/02/09 19:29:14.168) #right_data: ,0.3,0.54,0.47,0.48,0.0,0.61,3.15,1.85
( 2023/02/09 19:29:14.236) #right_data: ,0.36,0.57,0.47,0.49,0.0,0.62,3.22,1.92
( 2023/02/09 19:29:14.311) #right_data: ,0.36,0.57,0.47,0.49,0.0,0.62,3.22,1.92
( 2023/02/09 19:29:14.380) #right_data: ,2.67,2.58,0.66,0.18,0.0,1.19,2.47,1.18
( 2023/02/09 19:29:14.444) #right_data: ,2.67,2.58,0.66,0.18,0.0,1.19,2.47,1.18
( 2023/02/09 19:29:14.506) #right_data: ,4.17,4.21,1.78,1.07,0.0,0.17,2.23,0.44
( 2023/02/09 19:29:14.574) #right_data: ,4.59,4.26,1.83,0.93,0.0,0.03,1.8,0.08
( 2023/02/09 19:29:14.642) #right_data: ,4.49,3.78,1.53,0.65,0.01,1.25,1.94,0.19
( 2023/02/09 19:29:14.714) #right_data: ,4.8,2.11,1.11,0.79,0.01,0.11,1.8,0.11
( 2023/02/09 19:29:14.778) #right_data: ,5.01,2.5,1.3,1.14,0.0,0.06,0.33,0.75
( 2023/02/09 19:29:14.839) #right_data: ,5.73,3.51,1.89,1.26,0.0,1.11,0.6,0.16
( 2023/02/09 19:29:14.907) #right_data: ,6.49,4.96,2.58,1.09,0.0,0.8,0.39,0.0
( 2023/02/09 19:29:14.976) #right_data: ,6.49,5.12,2.79,1.41,0.0,0.64,0.0,0.0
( 2023/02/09 19:29:15.051) #right_data: ,5.99,4.08,2.31,0.45,0.0,0.28,0.0,0.0
( 2023/02/09 19:29:15.115) #right_data: ,2.67,0.55,0.66,0.41,0.0,0.01,0.0,0.0
( 2023/02/09 19:29:15.175) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.0,0.03,0.0
( 2023/02/09 19:29:15.244) #right_data: ,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.317) #right_data: ,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.406) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.468) #right_data: ,0.17,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.531) #right_data: ,0.15,0.08,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.600) #right_data: ,0.18,0.04,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.671) #right_data: ,0.16,0.0,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.746) #right_data: ,0.23,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.809) #right_data: ,0.23,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:15.869) #right_data: ,1.85,1.12,1.17,1.15,0.0,1.1,6.88,4.4
( 2023/02/09 19:29:15.934) #right_data: ,2.18,1.87,0.22,1.26,0.01,0.06,6.88,4.17
( 2023/02/09 19:29:16.006) #right_data: ,3.18,2.67,1.59,0.87,0.0,0.47,3.7,0.94
( 2023/02/09 19:29:16.079) #right_data: ,4.26,3.08,2.31,1.43,0.0,0.36,0.7,0.34
( 2023/02/09 19:29:16.143) #right_data: ,4.69,3.36,2.5,1.39,0.0,0.97,0.14,0.01
( 2023/02/09 19:29:16.203) #right_data: ,4.75,3.05,2.31,1.3,0.0,0.75,0.07,0.0
( 2023/02/09 19:29:16.268) #right_data: ,5.6,4.54,3.4,1.37,0.0,0.68,0.06,0.0
( 2023/02/09 19:29:16.338) #right_data: ,5.73,4.35,3.51,1.96,0.0,0.85,0.04,0.0
( 2023/02/09 19:29:16.409) #right_data: ,5.24,3.18,3.08,1.8,0.0,0.8,0.0,0.0
( 2023/02/09 19:29:16.472) #right_data: ,0.73,0.0,0.14,0.49,0.0,0.04,0.0,0.0
( 2023/02/09 19:29:16.534) #right_data: ,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.600) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.672) #right_data: ,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.742) #right_data: ,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.805) #right_data: ,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.865) #right_data: ,0.51,0.01,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.926) #right_data: ,0.39,0.01,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:16.996) #right_data: ,0.32,0.01,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.069) #right_data: ,0.67,0.0,0.17,0.1,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.138) #right_data: ,4.75,5.12,4.4,3.11,0.01,1.21,0.84,0.24
( 2023/02/09 19:29:17.199) #right_data: ,4.3,5.12,2.95,1.39,0.0,1.2,2.61,1.22
( 2023/02/09 19:29:17.266) #right_data: ,3.47,4.54,1.92,0.47,0.01,1.04,4.26,1.57
( 2023/02/09 19:29:17.335) #right_data: ,2.11,3.29,0.73,0.97,0.01,0.7,4.3,1.76
( 2023/02/09 19:29:17.404) #right_data: ,2.21,2.34,0.2,0.88,0.02,0.67,3.82,1.32
( 2023/02/09 19:29:17.474) #right_data: ,2.21,2.34,0.2,0.88,0.02,0.67,3.82,1.32
( 2023/02/09 19:29:17.536) #right_data: ,3.4,2.64,0.5,0.94,0.0,0.52,2.56,0.87
( 2023/02/09 19:29:17.603) #right_data: ,4.96,4.21,1.65,0.1,0.0,0.63,1.96,0.42
( 2023/02/09 19:29:17.674) #right_data: ,5.07,4.3,1.78,0.28,0.01,0.71,1.57,0.27
( 2023/02/09 19:29:17.745) #right_data: ,4.9,1.8,0.55,0.19,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.813) #right_data: ,0.81,0.04,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.876) #right_data: ,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.937) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.005) #right_data: ,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.075) #right_data: ,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.146) #right_data: ,0.44,0.04,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.209) #right_data: ,0.44,0.04,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.269) #right_data: ,0.34,0.06,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.335) #right_data: ,1.43,0.24,0.99,0.68,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.398) #right_data: ,3.55,2.39,3.99,2.42,0.0,0.63,0.0,0.0
( 2023/02/09 19:29:18.458) #right_data: ,3.7,4.08,4.03,2.98,0.03,1.92,0.38,0.55
( 2023/02/09 19:29:18.518) #right_data: ,3.95,3.99,4.12,3.15,0.01,1.92,1.09,0.26
( 2023/02/09 19:29:18.578) #right_data: ,3.82,3.55,4.03,3.15,0.0,1.89,0.66,0.06
( 2023/02/09 19:29:18.645) #right_data: ,3.99,2.76,3.78,2.73,0.0,1.37,0.12,0.0
( 2023/02/09 19:29:18.717) #right_data: ,3.99,2.79,3.51,2.47,0.0,1.11,0.21,0.0
( 2023/02/09 19:29:18.781) #right_data: ,3.43,2.44,2.89,2.23,0.0,1.18,0.65,0.06
( 2023/02/09 19:29:18.843) #right_data: ,2.56,1.59,1.8,1.18,0.0,0.55,1.51,0.8
( 2023/02/09 19:29:18.902) #right_data: ,2.92,1.25,0.87,0.59,0.0,1.1,3.47,1.1
( 2023/02/09 19:29:18.965) #right_data: ,3.51,1.74,0.96,0.78,0.0,1.12,2.82,0.75
( 2023/02/09 19:29:19.036) #right_data: ,4.96,2.42,1.53,1.04,0.0,1.1,0.91,0.0
( 2023/02/09 19:29:19.108) #right_data: ,5.24,2.39,1.61,0.91,0.0,0.51,0.0,0.0
( 2023/02/09 19:29:19.170) #right_data: ,0.33,0.0,0.0,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.231) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.290) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.357) #right_data: ,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.429) #right_data: ,0.34,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.490) #right_data: ,0.07,0.14,0.16,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.548) #right_data: ,0.05,0.2,0.21,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.609) #right_data: ,0.1,0.18,0.18,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.669) #right_data: ,0.2,0.14,0.18,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.738) #right_data: ,3.99,4.8,4.69,2.85,0.0,1.12,0.0,0.0
( 2023/02/09 19:29:19.801) #right_data: ,3.62,5.18,4.9,3.51,0.0,1.55,0.3,0.08
( 2023/02/09 19:29:19.863) #right_data: ,0.72,2.36,3.7,3.47,0.0,2.08,2.89,0.78
( 2023/02/09 19:29:19.922) #right_data: ,0.32,1.74,3.08,3.15,0.0,1.57,2.64,0.63
( 2023/02/09 19:29:19.989) #right_data: ,0.42,1.45,2.82,2.82,0.0,1.3,2.47,0.49
( 2023/02/09 19:29:20.059) #right_data: ,0.42,1.45,2.82,2.82,0.0,1.3,2.47,0.49
( 2023/02/09 19:29:20.129) #right_data: ,0.51,1.36,2.5,2.58,0.0,0.94,2.23,0.42
( 2023/02/09 19:29:20.191) #right_data: ,2.79,2.73,2.58,1.99,0.0,0.75,2.36,0.29
( 2023/02/09 19:29:20.256) #right_data: ,4.21,4.03,2.95,1.94,0.0,0.42,1.25,0.9
( 2023/02/09 19:29:20.326) #right_data: ,5.3,5.36,3.36,1.8,0.0,1.06,0.84,0.19
( 2023/02/09 19:29:20.458) #right_data: ,7.39,6.49,2.56,1.24,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.520) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.580) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.645) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.715) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.782) #right_data: ,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.844) #right_data: ,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.903) #right_data: ,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.966) #right_data: ,0.14,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.035) #right_data: ,0.13,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.109) #right_data: ,0.14,0.0,0.01,0.0,0.0,0.0,0.3,0.27
