( 2023/02/10 14:11:38.096) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 14:12:00.758) #left_data: ,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:00.818) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.24,6.06,5.79
( 2023/02/10 14:12:00.877) #left_data: ,0.12,0.0,0.09,1.15,0.0,1.14,7.22,7.05
( 2023/02/10 14:12:00.946) #left_data: ,0.12,0.0,0.09,1.15,0.0,1.14,7.22,7.05
( 2023/02/10 14:12:01.017) #left_data: ,0.25,0.15,1.17,1.45,0.0,2.58,5.92,5.12
( 2023/02/10 14:12:01.092) #left_data: ,0.6,0.66,1.99,2.64,0.0,3.08,2.95,2.21
( 2023/02/10 14:12:01.164) #left_data: ,0.6,0.66,1.99,2.64,0.0,3.08,2.95,2.21
( 2023/02/10 14:12:01.228) #left_data: ,3.95,3.51,4.49,3.4,0.0,1.55,0.43,0.01
( 2023/02/10 14:12:01.294) #left_data: ,6.13,5.12,5.3,3.18,0.0,1.0,0.0,0.0
( 2023/02/10 14:12:01.368) #left_data: ,7.58,5.12,5.12,2.06,0.0,0.45,0.0,0.0
( 2023/02/10 14:12:01.443) #left_data: ,8.36,3.15,3.32,0.94,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.509) #left_data: ,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.570) #left_data: ,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.636) #left_data: ,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.708) #left_data: ,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.782) #left_data: ,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.849) #left_data: ,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.912) #left_data: ,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.980) #left_data: ,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.055) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.14,4.8,4.69
( 2023/02/10 14:12:02.126) #left_data: ,0.13,0.0,0.0,0.87,0.0,1.02,6.88,6.72
( 2023/02/10 14:12:02.193) #left_data: ,0.38,0.01,0.8,1.18,0.0,3.29,5.79,5.42
( 2023/02/10 14:12:02.257) #left_data: ,0.38,0.01,0.8,1.18,0.0,3.29,5.79,5.42
( 2023/02/10 14:12:02.328) #left_data: ,0.84,0.22,0.81,2.28,0.0,3.51,2.64,2.44
( 2023/02/10 14:12:02.404) #left_data: ,4.8,1.59,3.15,2.85,0.0,2.16,0.34,0.0
( 2023/02/10 14:12:02.475) #left_data: ,4.8,1.59,3.15,2.85,0.0,2.16,0.34,0.0
( 2023/02/10 14:12:02.535) #left_data: ,7.96,3.32,3.62,1.65,0.0,0.56,0.0,0.0
( 2023/02/10 14:12:02.597) #left_data: ,7.86,0.98,1.21,1.09,0.0,0.01,0.0,0.0
( 2023/02/10 14:12:02.664) #left_data: ,7.86,0.98,1.21,1.09,0.0,0.01,0.0,0.0
( 2023/02/10 14:12:02.737) #left_data: ,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.811) #left_data: ,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.875) #left_data: ,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.937) #left_data: ,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.012) #left_data: ,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.085) #left_data: ,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.155) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.27,5.24,4.69
( 2023/02/10 14:12:03.218) #left_data: ,0.65,0.0,0.0,0.91,0.0,0.94,6.72,6.2
( 2023/02/10 14:12:03.284) #left_data: ,4.08,0.52,0.99,0.46,0.0,1.11,5.92,4.45
( 2023/02/10 14:12:03.355) #left_data: ,4.08,0.52,0.99,0.46,0.0,1.11,5.92,4.45
( 2023/02/10 14:12:03.431) #left_data: ,7.58,3.62,3.29,1.28,0.0,0.96,0.31,0.0
( 2023/02/10 14:12:03.503) #left_data: ,9.15,4.4,2.76,1.03,0.0,0.16,0.0,0.0
( 2023/02/10 14:12:03.564) #left_data: ,9.15,4.4,2.76,1.03,0.0,0.16,0.0,0.0
( 2023/02/10 14:12:03.626) #left_data: ,9.39,4.69,1.55,0.43,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.690) #left_data: ,9.64,3.66,0.93,0.39,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.762) #left_data: ,8.05,0.99,0.81,0.37,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.833) #left_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.895) #left_data: ,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.962) #left_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.029) #left_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.105) #left_data: ,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.175) #left_data: ,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.238) #left_data: ,0.24,0.0,0.0,0.37,0.0,0.78,6.97,5.99
( 2023/02/10 14:12:04.299) #left_data: ,0.24,0.0,0.0,0.37,0.0,0.78,6.97,5.99
( 2023/02/10 14:12:04.365) #left_data: ,1.34,0.39,0.75,1.23,0.0,0.62,7.05,5.66
( 2023/02/10 14:12:04.437) #left_data: ,2.79,1.03,0.25,0.91,0.01,1.18,6.06,4.03
( 2023/02/10 14:12:04.508) #left_data: ,2.79,0.9,1.28,1.09,0.0,0.62,1.92,1.1
( 2023/02/10 14:12:04.572) #left_data: ,5.73,3.58,3.74,2.21,0.0,0.93,0.0,0.0
( 2023/02/10 14:12:04.632) #left_data: ,5.73,3.58,3.74,2.21,0.0,0.93,0.0,0.0
( 2023/02/10 14:12:04.698) #left_data: ,6.88,3.99,3.91,1.43,0.0,0.55,0.0,0.0
( 2023/02/10 14:12:04.770) #left_data: ,8.36,3.4,2.44,0.87,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.842) #left_data: ,7.76,1.22,1.21,0.5,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.909) #left_data: ,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.973) #left_data: ,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.042) #left_data: ,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.112) #left_data: ,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.179) #left_data: ,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.251) #left_data: ,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.311) #left_data: ,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.377) #left_data: ,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.449) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.02,2.31,1.76
( 2023/02/10 14:12:05.522) #left_data: ,1.17,0.33,0.65,1.11,0.0,1.08,7.22,6.34
( 2023/02/10 14:12:05.588) #left_data: ,1.17,0.33,0.65,1.11,0.0,1.08,7.22,6.34
( 2023/02/10 14:12:05.650) #left_data: ,1.17,0.33,0.65,1.11,0.0,1.08,7.22,6.34
( 2023/02/10 14:12:05.713) #left_data: ,2.67,3.29,1.83,0.62,0.0,1.15,4.54,2.26
( 2023/02/10 14:12:05.775) #left_data: ,2.67,3.29,1.83,0.62,0.0,1.15,4.54,2.26
( 2023/02/10 14:12:05.892) #left_data: ,7.58,5.6,4.96,1.12,0.0,0.47,0.0,0.0
( 2023/02/10 14:12:05.952) #left_data: ,7.58,5.6,4.96,1.12,0.0,0.47,0.0,0.0
( 2023/02/10 14:12:06.014) #left_data: ,8.47,4.45,3.05,0.97,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.083) #left_data: ,8.26,0.9,0.84,0.67,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.156) #left_data: ,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.222) #left_data: ,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.282) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.353) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.423) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.493) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.560) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.619) #left_data: ,0.0,0.0,0.03,1.0,0.0,1.25,6.97,7.13
( 2023/02/10 14:12:06.681) #left_data: ,0.0,0.0,0.03,1.0,0.0,1.25,6.97,7.13
