( 2023/02/10 14:11:38.103) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/10 14:12:00.763) #right_data: ,7.39,6.88,3.18,1.3,0.0,0.74,0.0,0.0
( 2023/02/10 14:12:00.822) #right_data: ,8.16,2.18,0.1,0.58,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:00.885) #right_data: ,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:00.955) #right_data: ,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.028) #right_data: ,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.102) #right_data: ,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.171) #right_data: ,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.234) #right_data: ,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.304) #right_data: ,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:01.380) #right_data: ,0.23,0.0,0.0,0.0,0.0,0.05,0.19,0.43
( 2023/02/10 14:12:01.452) #right_data: ,0.18,0.0,0.0,0.0,0.0,0.09,3.36,2.56
( 2023/02/10 14:12:01.514) #right_data: ,0.99,0.0,0.0,1.04,0.0,0.98,6.06,5.12
( 2023/02/10 14:12:01.575) #right_data: ,1.17,0.0,0.14,0.84,0.0,1.92,5.3,4.35
( 2023/02/10 14:12:01.646) #right_data: ,1.21,0.0,0.27,1.25,0.0,2.28,4.54,3.86
( 2023/02/10 14:12:01.719) #right_data: ,1.22,0.0,0.54,2.18,0.0,2.76,1.41,1.49
( 2023/02/10 14:12:01.791) #right_data: ,0.02,0.0,0.68,2.21,0.0,2.82,1.11,1.23
( 2023/02/10 14:12:01.855) #right_data: ,4.35,2.36,1.99,2.18,0.0,2.03,0.91,0.66
( 2023/02/10 14:12:01.919) #right_data: ,5.6,4.75,2.82,2.23,0.0,0.87,0.15,0.07
( 2023/02/10 14:12:01.993) #right_data: ,5.6,4.75,2.82,2.23,0.0,0.87,0.15,0.07
( 2023/02/10 14:12:02.065) #right_data: ,8.16,3.74,1.41,0.85,0.0,0.08,0.0,0.0
( 2023/02/10 14:12:02.135) #right_data: ,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.199) #right_data: ,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.267) #right_data: ,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.340) #right_data: ,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.414) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.480) #right_data: ,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.541) #right_data: ,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:02.604) #right_data: ,0.28,0.0,0.0,0.0,0.0,0.48,5.73,5.6
( 2023/02/10 14:12:02.674) #right_data: ,0.54,0.0,0.0,0.53,0.0,0.7,7.05,5.99
( 2023/02/10 14:12:02.749) #right_data: ,4.12,0.0,0.71,1.94,0.0,2.5,3.43,2.44
( 2023/02/10 14:12:02.817) #right_data: ,3.99,0.0,0.83,2.21,0.0,2.58,1.39,1.14
( 2023/02/10 14:12:02.880) #right_data: ,4.8,0.16,0.78,3.05,0.0,2.39,0.08,0.04
( 2023/02/10 14:12:02.946) #right_data: ,5.36,0.91,1.61,2.89,0.0,1.72,0.06,0.0
( 2023/02/10 14:12:03.021) #right_data: ,6.42,2.16,2.39,2.56,0.0,0.51,0.03,0.0
( 2023/02/10 14:12:03.095) #right_data: ,8.26,4.75,2.92,0.59,0.0,0.58,0.0,0.0
( 2023/02/10 14:12:03.159) #right_data: ,8.8,4.3,0.76,0.47,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.224) #right_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.292) #right_data: ,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.366) #right_data: ,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.444) #right_data: ,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.508) #right_data: ,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.570) #right_data: ,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.630) #right_data: ,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:03.701) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.05,0.16,0.26
( 2023/02/10 14:12:03.771) #right_data: ,4.26,0.0,0.06,0.08,0.0,0.75,6.97,5.36
( 2023/02/10 14:12:03.838) #right_data: ,5.92,0.69,0.97,0.66,0.0,0.76,5.48,3.58
( 2023/02/10 14:12:03.904) #right_data: ,6.65,1.02,0.61,0.94,0.0,0.5,2.39,1.28
( 2023/02/10 14:12:03.969) #right_data: ,7.13,2.89,1.96,1.23,0.0,0.99,0.02,0.04
( 2023/02/10 14:12:04.040) #right_data: ,7.05,3.4,1.96,0.9,0.0,0.72,0.0,0.0
( 2023/02/10 14:12:04.115) #right_data: ,7.22,5.73,2.06,1.05,0.0,0.36,0.0,0.0
( 2023/02/10 14:12:04.180) #right_data: ,7.39,6.49,2.28,0.98,0.0,0.3,0.0,0.0
( 2023/02/10 14:12:04.243) #right_data: ,8.26,5.36,0.08,0.26,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.305) #right_data: ,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.375) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.447) #right_data: ,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.516) #right_data: ,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.577) #right_data: ,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.637) #right_data: ,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.707) #right_data: ,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.780) #right_data: ,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:04.851) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.23,6.72,5.86
( 2023/02/10 14:12:04.915) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.23,6.72,5.86
( 2023/02/10 14:12:04.981) #right_data: ,1.8,0.0,0.05,1.08,0.0,0.82,7.31,5.79
( 2023/02/10 14:12:05.052) #right_data: ,1.51,0.0,0.14,1.13,0.0,0.78,6.65,5.3
( 2023/02/10 14:12:05.117) #right_data: ,1.16,1.03,0.9,0.28,0.03,0.46,4.64,3.29
( 2023/02/10 14:12:05.193) #right_data: ,1.85,0.94,1.23,0.94,0.03,0.72,2.98,2.18
( 2023/02/10 14:12:05.255) #right_data: ,2.44,2.39,1.04,1.63,0.01,1.01,0.84,0.55
( 2023/02/10 14:12:05.315) #right_data: ,5.79,6.49,3.78,3.43,0.0,0.2,0.0,0.0
( 2023/02/10 14:12:05.387) #right_data: ,7.22,6.2,3.47,1.45,0.0,0.29,0.0,0.0
( 2023/02/10 14:12:05.459) #right_data: ,7.22,6.2,3.47,1.45,0.0,0.29,0.0,0.0
( 2023/02/10 14:12:05.531) #right_data: ,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.593) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.655) #right_data: ,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.719) #right_data: ,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.832) #right_data: ,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.896) #right_data: ,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:05.957) #right_data: ,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.022) #right_data: ,0.19,0.0,0.0,0.0,0.0,0.06,3.95,3.18
( 2023/02/10 14:12:06.093) #right_data: ,0.67,0.0,0.0,0.01,0.0,0.32,5.99,5.42
( 2023/02/10 14:12:06.165) #right_data: ,3.78,2.23,1.06,1.07,0.06,0.85,6.8,4.96
( 2023/02/10 14:12:06.226) #right_data: ,3.95,4.49,0.73,1.23,0.05,0.94,5.6,3.74
( 2023/02/10 14:12:06.295) #right_data: ,4.9,6.27,1.76,0.05,0.03,0.8,1.19,0.21
( 2023/02/10 14:12:06.360) #right_data: ,5.18,6.57,2.06,0.05,0.03,0.77,1.1,0.9
( 2023/02/10 14:12:06.432) #right_data: ,5.24,7.13,2.53,0.27,0.02,0.74,0.27,0.25
( 2023/02/10 14:12:06.503) #right_data: ,6.13,8.26,3.91,1.23,0.0,0.63,0.0,0.0
( 2023/02/10 14:12:06.564) #right_data: ,6.97,9.03,4.12,0.11,0.0,0.15,0.0,0.0
( 2023/02/10 14:12:06.624) #right_data: ,5.12,1.19,0.59,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.687) #right_data: ,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.760) #right_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.831) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.898) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.958) #right_data: ,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.024) #right_data: ,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.095) #right_data: ,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.165) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.08,0.62,0.76
( 2023/02/10 14:12:07.232) #right_data: ,0.26,0.0,0.0,0.07,0.0,0.51,4.4,3.66
( 2023/02/10 14:12:07.293) #right_data: ,0.57,0.84,0.62,0.72,0.0,0.81,6.8,4.9
( 2023/02/10 14:12:07.353) #right_data: ,1.51,2.13,1.15,0.93,0.06,0.94,7.13,5.12
( 2023/02/10 14:12:07.422) #right_data: ,1.94,3.43,0.08,0.9,0.05,0.87,6.72,4.17
( 2023/02/10 14:12:07.492) #right_data: ,2.28,4.49,0.42,0.88,0.04,0.77,4.69,2.79
( 2023/02/10 14:12:07.564) #right_data: ,3.82,4.69,2.23,0.65,0.01,1.24,1.26,0.83
( 2023/02/10 14:12:07.625) #right_data: ,4.69,5.42,2.85,1.14,0.0,1.16,0.15,0.06
( 2023/02/10 14:12:07.685) #right_data: ,7.05,7.39,4.3,1.85,0.0,0.78,0.0,0.0
( 2023/02/10 14:12:07.755) #right_data: ,8.58,7.39,3.58,1.02,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.827) #right_data: ,6.97,0.84,0.93,0.22,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.897) #right_data: ,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.959) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.020) #right_data: ,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.092) #right_data: ,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.164) #right_data: ,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.237) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.300) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.363) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.1,1.25,1.28
